Bureau of Justice Statistics,,,,,,,,,
Filename: cj0519stat01.csv,,,,,,,,,
"Appendix Table 1. Characteristics of the Federal Bureau of Prisons’ detention facilities and of local jails, midyear 2019",,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2019",,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,
,,,,,,,,,
"Appendix Table 1. Response rates of jail jurisdictions and jail facilities and number of confined inmates, by state, midyear 2019",,,,,,,,,
,,Jail jurisdictions,,,Jail facilities,,,Inmates in custody,
State/a,,Number,Percent that reported data,,Number,Percent that reported data,,Reported/b,Estimated/c
,U.S. total,"2,850",93.6,%,"3,116",92.6,%,"698,940","734,470"
Northeast,,175,96,%,205,89.8,%,"70,320","73,570"
,Maine,14,92.9,,14,92.9,,"1,540","1,620"
,Massachusetts,13,100,,19,100,,"9,260","9,260"
,New Hampshire,10,100,,10,100,,"1,400","1,400"
,New Jersey,19,84.2,,19,84.2,,"7,820","9,550"
,New York,57,94.7,,71,76.1,,"19,010","20,450"
,Pennsylvania,62,100,,72,100,,"31,300","31,300"
Midwest,,950,94.3,%,981,94.1,%,"121,020","125,330"
,Illinois,91,97.8,,92,97.8,,"16,400","16,490"
,Indiana,91,95.6,,92,95.7,,"19,520","20,430"
,Iowa,94,96.8,,94,96.8,,"4,960","5,020"
,Kansas,95,92.6,,96,91.7,,"7,870","8,080"
,Michigan,81,91.4,,87,90.8,,"15,640","15,880"
,Minnesota,78,96.2,,82,95.1,,"6,720","6,840"
,Missouri,110,91.8,,112,92,,"11,030","11,580"
,Nebraska,63,90.5,,63,90.5,,"4,170","4,200"
,North Dakota,23,100,,23,100,,"1,470","1,470"
,Ohio,127,92.9,,138,93.5,,"19,020","20,580"
,South Dakota,26,92.3,,26,92.3,,"1,960","2,010"
,Wisconsin,71,97.2,,76,96.1,,"12,270","12,750"
South,,"1,319",92.6,%,"1,457",91.7,%,"363,950","386,770"
,Alabama,124,91.1,,126,91.3,,"14,530","16,450"
,Arkansas,76,89.5,,77,89.6,,"8,780","9,400"
,District of Columbia,1,100,,1,100,,"1,820","1,820"
,Florida,67,95.5,,86,95.3,,"53,820","56,660"
,Georgia,150,95.3,,177,91,,"41,880","44,810"
,Kentucky,80,92.5,,84,92.9,,"24,510","26,190"
,Louisiana,87,93.1,,107,89.7,,"29,330","32,560"
,Maryland,24,95.8,,30,96.7,,"8,310","8,590"
,Mississippi,81,88.9,,86,87.2,,"13,580","14,340"
,North Carolina,93,93.5,,99,92.9,,"19,610","20,360"
,Oklahoma,95,94.7,,96,94.8,,"10,430","10,630"
,South Carolina,45,97.8,,49,98,,"10,690","11,470"
,Tennessee,95,91.6,,110,90.9,,"29,570","31,240"
,Texas,232,90.1,,249,90,,"65,990","68,770"
,Virginia,58,93.1,,69,92.8,,"26,000","28,380"
,West Virginia,11,100,,11,100,,"5,110","5,110"
West,,406,94.1,%,473,93.4,%,"143,660","148,800"
,Alaska,15,93.3,,15,93.3,,50,50
,Arizona,16,87.5,,21,90.5,,"13,230","13,540"
,California,62,90.3,,111,90.1,,"73,120","75,060"
,Colorado,55,100,,60,98.3,,"13,000","13,000"
,Idaho,36,94.4,,36,94.4,,"4,200","4,250"
,Montana,36,91.7,,36,91.7,,"2,430","2,510"
,Nevada,19,94.7,,20,95,,"7,180","7,220"
,New Mexico,31,87.1,,31,87.1,,"6,420","6,550"
,Oregon,36,100,,38,100,,"6,040","6,040"
,Utah,25,100,,26,100,,"7,300","7,300"
,Washington,52,94.2,,56,92.9,,"9,290","11,710"
,Wyoming,23,91.3,,23,91.3,,"1,410","1,570"
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont.",,,,,,,,,
a/See U.S. Census Bureau. (n.d.). Census regions and divisions of the United States. https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf,,,,,,,,,
b/Estimates are based on reported data and were rounded to the nearest 10. Data were not adjusted for survey and item nonresponse.,,,,,,,,,
c/Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology. ,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Jails, 2019.  ",,,,,,,,,
