Bureau of Justice Statistics,,,,,,,,,,,
Filename: cj0519stt01.csv,,,,,,,,,,,
"Table 1. Persons under the supervision of local jails, by confinement status and state, midyear 2019",,,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2019",,,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,
,,,,,,,,,,,
"Table 1. Persons under the supervision of local jails, by confinement status and state, midyear 2019",,,,,,,,,,,
,,,In custody,,,Supervised outside of jail/c,,,"Persons serving weekend-only sentences the weekend before June 28, 2019",,
State/a,,All/b,Number,Percent,,Number,Percent,,Number,Percent,
,U.S. total,"773,130","734,470",95,%,"38,660",5,%,"6,470",0.8,%
Northeast,,"75,830","73,570",97,%,"2,260",3,%,560,0.7,%
,Maine,"1,710","1,620",95.1,,80,4.9,,20,0.9,
,Massachusetts,"9,380","9,260",98.7,,130,1.3,,0,0,
,New Hampshire,"1,990","1,400",70.2,,590,29.8,,10,0.4,
,New Jersey,"10,470","9,550",91.2,,920,8.8,,120,1.1,
,New York,"20,500","20,450",99.8,,50,0.2,,250,1.2,
,Pennsylvania,"31,790","31,300",98.5,,490,1.5,,170,0.5,
Midwest,,"131,420","125,330",95.4,%,"6,090",4.6,%,"1,370",1,%
,Illinois,"19,110","16,490","16,490",,"2,620",13.7,,240,1.2,
,Indiana,"20,880","20,430","20,430",,440,2.1,,130,0.6,
,Iowa,"5,070","5,020","5,020",,50,0.9,,40,0.8,
,Kansas,"8,090","8,080","8,080",,10,0.1,,100,1.2,
,Michigan,"17,020","15,880","15,880",,"1,150",6.7,,290,1.7,
,Minnesota,"7,070","6,840","6,840",,230,3.2,,290,4,
,Missouri,"12,000","11,580","11,580",,430,3.5,,100,0.9,
,Nebraska,"4,240","4,200","4,200",,40,1.1,,40,0.9,
,North Dakota,"1,500","1,470","1,470",,30,2.1,,10,0.3,
,Ohio,"20,670","20,580","20,580",,90,0.4,,100,0.5,
,South Dakota,"2,120","2,010","2,010",,110,5.2,,30,1.3,
,Wisconsin,"13,650","12,750","12,750",,900,6.6,,^,^,
South ,,"403,760","386,770",95.8,%,"16,990",4.2,%,"3,920",1,%
,Alabama,"16,520","16,450",99.6,,70,0.4,,100,0.6,
,Arkansas,"9,460","9,400",99.3,,70,0.7,,70,0.7,
,District of Columbia,"1,820","1,820",100,,0,0,,20,0.9,
,Florida,"64,710","56,660",87.6,,"8,060",12.5,,170,0.3,
,Georgia,"45,340","44,810",98.8,,530,1.2,,380,0.8,
,Kentucky,"27,220","26,190",96.2,,"1,030",3.8,,370,1.3,
,Louisiana,"32,730","32,560",99.5,,170,0.5,,30,0.1,
,Maryland,"12,160","8,590",70.7,,"3,570",29.4,,190,1.6,
,Mississippi,"14,340","14,340",100,,^,^,,70,0.5,
,North Carolina,"20,960","20,360",97.1,,600,2.9,,440,2.1,
,Oklahoma,"10,670","10,630",99.6,,40,0.4,,120,1.1,
,South Carolina,"12,820","11,470",89.5,,"1,350",10.5,,150,1.1,
,Tennessee,"31,330","31,240",99.7,,90,0.3,,400,1.3,
,Texas,"69,610","68,770",98.8,,840,1.2,,680,1,
,Virginia,"28,970","28,380",98,,590,2,,740,2.6,
,West Virginia,"5,110","5,110",100,,0,0,,0,0,
West ,,"162,120","148,800",91.8,%,"13,330",8.2,%,620,0.4,%
,Alaska,90,50,55.6,,40,44.4,,0,0,
,Arizona,"13,560","13,540",99.9,,20,0.1,,50,0.4,
,California,"82,460","75,060",91,,"7,400",9,,240,0.3,
,Colorado,"13,810","13,000",94.1,,810,5.9,,20,0.1,
,Idaho,"5,610","4,250",75.7,,"1,370",24.3,,60,1,
,Montana,"2,520","2,510",99.7,,10,0.3,,10,0.4,
,Nevada,"8,440","7,220",85.6,,"1,220",14.4,,30,0.4,
,New Mexico,"7,270","6,550",90.1,,720,10,,10,0.2,
,Oregon,"7,100","6,040",85.1,,"1,060",14.9,,80,1.2,
,Utah,"7,600","7,300",96.1,,300,3.9,,80,1.1,
,Washington,"12,060","11,710",97,,360,3,,20,0.2,
,Wyoming,"1,600","1,570",98.1,,30,1.9,,20,1.1,
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology. Details may not sum to totals due to rounding. ",,,,,,,,,,,
"^A nonzero value of 5 or less, or a nonzero percentage less than 0.05%.",,,,,,,,,,,
a/See U.S. Census Bureau. (n.d.). Census regions and divisions of the United States. https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf ,,,,,,,,,,,
"b/Includes inmates in custody and persons supervised outside of jail on June 28, 2019.",,,,,,,,,,,
"c/Includes unconfined persons under jail supervision on June 28, 2019 in various programs, such as electronic monitoring, home detention, day reporting, community service, treatment programs, and other pretrial supervision and work programs. Excludes persons supervised by a probation or parole agency.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Jails, 2019.  ",,,,,,,,,,,
