Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
Filename: cj0519stt05.csv,,,,,,,,,,,,,,,,,,,
"Table 5. Confined inmates in local jails and incarceration rates, by demographic characteristics, 2005, 2013, and 2019",,,,,,,,,,,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2005, 2013, and 2019",,,,,,,,,,,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table 5. Confined inmates in local jails and incarceration rates, by demographic characteristics, 2005, 2013, and 2019",,,,,,,,,,,,,,,,,,,
,,Inmates in custody,,,,,,,,,Incarceration rate,,,,,,,,
,,Number/a,,,Percent change,,,,,,"Number per 100,000 residents",,,Percent change,,,,,
Demographic characteristic,,2005/b,2013/c,2019/b,2005–2013,,2013–2019,,2005–2019,,2005/b,2013/c,2019/b,2005–2013,,2013–2019,,2005–2019,
,U.S. total,"747,530","731,570","734,470",-2.1,%,0.4,%,-1.7,%,253,230,224,-9.1,%,-2.6,%,-11.5,%
Adults/d,,"740,770","727,150","731,580",-1.8,%,0.6,%,-1.2,%,334,298,287,-10.8,%,-3.7,%,-14.1,%
Sex,,,,,,,,,,,,,,,,,,,
,Male,"652,960","630,630","623,730",-3.4,%,-1.1,%,-4.5,%,448,403,386,-10,%,-4.2,%,-13.8,%
,Female,"94,570","100,940","110,730",6.7,,9.7,,17.1,,63,63,66,0,,4.8,,4.8,
Race/ethnicity,,,,,,,,,,,,,,,,,,,
,White/e,"331,050","345,310","362,920",-3.4,%,5.1,%,9.6,%,167,175,184,4.8,%,5.1,%,10.2,%
,Black/e,"290,520","253,770","247,060",-12.6,,-2.6,,-15,,803,645,600,-19.7,,-7,,-25.3,
,Hispanic,"111,930","114,590","106,920",2.4,,-6.7,,-4.5,,263,209,176,-20.5,,-15.8,,-33.1,
,American Indian/Alaska Native/e,"7,630","9,530","10,220",24.9,,7.2,,33.9,,340,407,420,19.7,,3.2,,23.5,
,Asian/e,"4,890","4,790","4,720",-2,,-1.5,,-3.5,,40,29,25,-27.5,,-13.8,,-37.5,
,Native Hawaiian/Other Pacific Islander/e,500,610,770,22,,26.2,,54,,121,113,129,-6.6,,14.2,,6.6,
,Two or more races/e,"1,020","2,970","1,850",191.2,,-37.7,,81.4,,25,47,25,88,,-46.8,,0,
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Details may not sum to totals due to rounding. ",,,,,,,,,,,,,,,,,,,
a/Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology. ,,,,,,,,,,,,,,,,,,,
b/As of midyear (last weekday in June). ,,,,,,,,,,,,,,,,,,,
c/As of year-end (December 31). ,,,,,,,,,,,,,,,,,,,
d/Inmates age 18 or older. ,,,,,,,,,,,,,,,,,,,
"e/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, Census of Jails, 2005, 2013, and 2019. ",,,,,,,,,,,,,,,,,,,
