Bureau of Justice Statistics,,,,,,,,,,,
Filename: cj0519stt09.csv,,,,,,,,,,,
"Table 9. Confined inmates in local jails, by most serious type of offense and state, midyear 2019",,,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2019",,,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,
,,,,,,,,,,,
"Table 9. Confined inmates in local jails, by most serious type of offense and state, midyear 2019",,,,,,,,,,,
,,,Number/c,,,Percent,,,,,
State/a,,Total inmates in custody/b,Felony ,Misdemeanor,Other/d,Felony ,,Misdemeanor,,Other/d,
,U.S. total,"734,470","513,860","170,320","50,290",70,%,23.2,%,6.8,%
Northeast,,"73,570","40,330","25,860","7,380",54.8,%,35.2,%,10,%
,Maine,"1,620",650,800,170,40.2,,49.5,,10.3,
,Massachusetts,"9,260","5,150","3,540",570,55.6,,38.2,,6.2,
,New Hampshire,"1,400",590,450,360,42.4,,31.9,,25.7,
,New Jersey,"9,550","6,630","2,490",420,69.5,,26.1,,4.4,
,New York,"20,450","11,810","6,760","1,880",57.7,,33.1,,9.2,
,Pennsylvania,"31,300","15,500","11,820","3,980",49.5,,37.8,,12.7,
Midwest ,,"125,330","85,860","31,890","7,590",68.5,%,25.4,%,6.1,%
,Illinois,"16,490","13,530","2,010",960,82,,12.2,,5.8,
,Indiana,"20,430","14,000","5,920",520,68.5,,29,,2.5,
,Iowa,"5,020","2,980","1,790",250,59.4,,35.6,,5,
,Kansas,"8,080","5,380","1,900",810,66.5,,23.5,,10,
,Michigan,"15,880","10,580","4,350",950,66.6,,27.4,,6,
,Minnesota,"6,840","4,700","1,800",340,68.7,,26.3,,5,
,Missouri,"11,580","9,700","1,440",440,83.8,,12.4,,3.8,
,Nebraska,"4,200","2,570","1,140",480,61.3,,27.1,,11.5,
,North Dakota,"1,470","1,100",310,60,74.8,,21.4,,3.7,
,Ohio,"20,580","12,950","6,770",860,62.9,,32.9,,4.2,
,South Dakota,"2,010","1,370",400,230,68.4,,20,,11.6,
,Wisconsin,"12,750","7,000","4,060","1,690",54.9,,31.8,,13.3,
South ,,"386,770","278,160","80,690","27,910",71.9,%,20.9,%,7.2,%
,Alabama,"16,450","11,570","4,350",530,70.3,,26.4,,3.2,
,Arkansas,"9,400","7,640","1,630",130,81.3,,17.3,,1.4,
,District of Columbia,"1,820","1,450",360,0,80,,20,,0,
,Florida,"56,660","44,600","7,780","4,270",78.7,,13.7,,7.5,
,Georgia,"44,810","33,950","8,760","2,100",75.8,,19.6,,4.7,
,Kentucky,"26,190","17,420","6,810","1,960",66.5,,26,,7.5,
,Louisiana,"32,560","25,120","4,780","2,660",77.2,,14.7,,8.2,
,Maryland,"8,590","4,100","4,090",410,47.7,,47.5,,4.7,
,Mississippi,"14,340","10,840","1,980","1,530",75.6,,13.8,,10.6,
,North Carolina,"20,360","12,670","6,680","1,020",62.2,,32.8,,5,
,Oklahoma,"10,630","6,040","2,070","2,510",56.9,,19.5,,23.6,
,South Carolina,"11,470","7,300","3,130","1,040",63.6,,27.3,,9.1,
,Tennessee,"31,240","19,070","10,950","1,220",61,,35.1,,3.9,
,Texas,"68,770","49,880","11,150","7,750",72.5,,16.2,,11.3,
,Virginia,"28,380","22,600","5,270",510,79.6,,18.6,,1.8,
,West Virginia,"5,110","3,900",910,300,76.3,,17.9,,5.8,
West ,,"148,800","109,510","31,880","7,410",73.6,%,21.4,%,5,%
,Alaska,50,30,20,0,53.3,,46.7,,0,
,Arizona,"13,540","11,270","1,870",400,83.2,,13.8,,3,
,California,"75,060","61,250","12,890",930,81.6,,17.2,,1.2,
,Colorado,"13,000","7,540","3,290","2,170",58,,25.3,,16.7,
,Idaho,"4,250","3,160",930,160,74.4,,21.8,,3.7,
,Montana,"2,510","1,920",550,50,76.3,,21.8,,1.9,
,Nevada,"7,220","4,140","3,010",70,57.4,,41.6,,1,
,New Mexico,"6,550","4,780","1,590",180,73,,24.3,,2.7,
,Oregon,"6,040","3,330","2,030",680,55.1,,33.6,,11.3,
,Utah,"7,300","4,440","1,650","1,220",60.8,,22.6,,16.7,
,Washington,"11,710","6,940","3,290","1,470",59.3,,28.1,,12.6,
,Wyoming,"1,570",710,770,80,45.3,,49.4,,5.4,
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. For inmates held for multiple offenses, classification was based on the most serious offense. Details may not sum to totals due to rounding. ",,,,,,,,,,,
a/See U.S. Census Bureau. (n.d.). Census regions and divisions of the United States. https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf ,,,,,,,,,,,
"b/Includes inmates in custody on June 28, 2019. ",,,,,,,,,,,
c/Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology. ,,,,,,,,,,,
d/Includes civil infractions and unknown offenses.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Jails, 2019.  ",,,,,,,,,,,
