Bureau of Justice Statistics,,,,,,,,
Filename: cj0519stt10.csv,,,,,,,,
"Table 10. Confined inmates in local jails, by probation or parole violation and state, midyear 2019",,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2019",,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of version: 10/7/2021,,,,,,,,
,,,,,,,,
"Table 10. Confined inmates in local jails, by probation or parole violation and state, midyear 2019",,,,,,,,
,,,Number/c,,Percent,,,
State/a,,Total inmates in custody/b,Probation violators,Parole violators,Probation violators,,Parole violators,
,U.S. total,"734,470","97,540","28,950",13.3,%,3.9,%
Northeast,,"73,570","6,470","5,700",8.8,%,7.7,%
,Maine,"1,620",250,0,15.4,,0,
,Massachusetts,"9,260",510,140,5.5,,1.5,
,New Hampshire,"1,400",100,^,7.2,,0.3,
,New Jersey,"9,550",440,60,4.6,,0.6,
,New York,"20,450",630,"3,230",3.1,,15.8,
,Pennsylvania,"31,300","4,540","2,270",14.5,,7.3,
Midwest ,,"125,330","21,060","3,150",16.8,%,2.5,%
,Illinois,"16,490",480,220,2.9,,1.4,
,Indiana,"20,430","4,260",340,20.8,,1.7,
,Iowa,"5,020",770,130,15.2,,2.5,
,Kansas,"8,080","1,120",240,13.9,,2.9,
,Michigan,"15,880","1,760",520,11.1,,3.3,
,Minnesota,"6,840","1,340",240,19.6,,3.6,
,Missouri,"11,580","1,140",180,9.8,,1.6,
,Nebraska,"4,200",300,30,7.2,,0.7,
,North Dakota,"1,470",210,40,14.1,,2.8,
,Ohio,"20,580","7,020",980,34.1,,4.8,
,South Dakota,"2,010",250,90,12.6,,4.3,
,Wisconsin,"12,750","2,420",140,19,,1.1,
South ,,"386,770","56,470","13,750",14.6,%,3.6,%
,Alabama,"16,450","2,280",340,13.8,,2.1,
,Arkansas,"9,400",650,850,6.9,,9.1,
,District of Columbia,"1,820",60,320,3.5,,17.4,
,Florida,"56,660","10,190",240,18,,0.4,
,Georgia,"44,810","12,570","1,270",28,,2.8,
,Kentucky,"26,190","2,230","1,190",8.5,,4.5,
,Louisiana,"32,560","2,100","1,790",6.5,,5.5,
,Maryland,"8,590","1,520",100,17.7,,1.2,
,Mississippi,"14,340",920,460,6.4,,3.2,
,North Carolina,"20,360","2,250",490,11,,2.4,
,Oklahoma,"10,630",700,90,6.6,,0.8,
,South Carolina,"11,470",770,60,6.8,,0.5,
,Tennessee,"31,240","8,420",860,27,,2.7,
,Texas,"68,770","4,780","5,400",7,,7.9,
,Virginia,"28,380","5,620",280,19.8,,1,
,West Virginia,"5,110","1,410",10,27.6,,0.1,
West ,,"148,800","13,540","6,360",9.1,%,4.3,%
,Alaska,50,10,^,15.6,,4.4,
,Arizona,"13,540","1,070",80,7.9,,0.6,
,California,"75,060","6,510","3,620",8.7,,4.8,
,Colorado,"13,000",600,790,4.6,,6,
,Idaho,"4,250",780,380,18.2,,8.9,
,Montana,"2,510",200,60,7.9,,2.5,
,Nevada,"7,220",510,80,7.1,,1.1,
,New Mexico,"6,550","1,270",120,19.4,,1.8,
,Oregon,"6,040",880,860,14.6,,14.2,
,Utah,"7,300",560,60,7.6,,0.8,
,Washington,"11,710","1,050",300,9,,2.6,
,Wyoming,"1,570",100,20,6.5,,1,
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Details may not sum to totals due to rounding. ",,,,,,,,
^A nonzero value of 5 or less.,,,,,,,,
a/See U.S. Census Bureau. (n.d.). Census regions and divisions of the United States. https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf ,,,,,,,,
"b/Includes inmates in custody on June 28, 2019. ",,,,,,,,
c/Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology. ,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Jails, 2019.  ",,,,,,,,
