Bureau of Justice Statistics,,,,,,,,,,
Filename: cj0519stt13.csv,,,,,,,,,,
"Table 13. Characteristics of confined inmates in local jails, by urban or rural locality, midyear 2019",,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2019",,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,
,,,,,,,,,,
"Table 13. Characteristics of confined inmates in local jails, by urban or rural locality, midyear 2019",,,,,,,,,,
,,Number/a,,,Percent,,,,,
Characteristic,,Total inmates in custody/b,Urban/c,Rural/c,Total,,Urban/c,,Rural/c,
,U.S. total,"734,470","522,050","212,420",100,%,100,%,100,%
Adults/d,,"731,580","519,550","212,040",99.6,%,99.5,%,99.8,%
,Male,"621,070","444,510","176,560",84.6,,85.1,,83.1,
,Female,"110,510","75,030","35,480",15,,14.4,,16.7,
Juvenile/e,,"2,880","2,500",380,0.4,%,0.5,%,0.2,%
,Held as adult,"2,210","1,940",270,0.3,,0.4,,0.1,
,Held as juvenile,670,560,110,0.1,,0.1,,0.1,
Race/ethnicity,,,,,,,,,,
,White/f,"362,920","226,410","135,990",49.4,%,43.4,%,64,%
,Black/f,"247,060","197,070","50,350",33.6,,37.7,,23.7,
,Hispanic,"106,920","87,190","19,920",14.6,,16.7,,9.4,
,American Indian/Alaska Native/f,"10,220","5,550","4,650",1.4,,1.1,,2.2,
,Asian/f,"4,720","3,950",780,0.6,,0.8,,0.4,
,Native Hawaiian/Other Pacific Islander/f,770,630,140,0.1,,0.1,,0.1,
,Two or more races/f,"1,850","1,260",590,0.3,,0.2,,0.3,
Conviction status,,,,,,,,,,
,Convicted/g,"253,730","166,770","86,960",34.5,%,31.9,%,40.9,%
,Unconvicted/h,"480,740","355,280","125,460",65.5,,68.1,,59.1,
Most serious type of offense,,,,,,,,,,
,Felony ,"513,860","372,440","141,420",70,%,71.3,%,66.6,%
,Misdemeanor ,"170,320","115,190","55,130",23.2,,22.1,,26,
,Other/i,"50,290","34,420","15,870",6.8,,6.6,,7.5,
Conditional release violation,,,,,,,,,,
,Probation,"97,540","65,010","32,530",13.3,%,12.5,%,15.3,%
,Parole,"28,950","21,320","7,630",3.9,,4.1,,3.6,
Citizenship status,,,,,,,,,,
,U.S. citizen,"572,830","385,360","187,470",78,%,73.8,%,88.3,%
,Non-U.S. citizen,"39,620","27,760","11,870",5.4,,5.3,,5.6,
,Unknown,"122,010","108,930","13,080",16.6,,20.9,,6.2,
Held for other authorities,,"117,100","59,580","57,520",15.9,,11.4,,27.1,
,Federal/j,"53,490","30,670","22,830",7.3,,5.9,,10.7,
,State prison/k,"63,330","28,770","34,570",8.6,,5.5,,16.3,
,Tribal government/l,270,140,130,^,,^,,0.1,
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ (BOP) detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Sums of counts for urban and rural jails may differ slightly from national totals due to nonresponse adjustments. Details may not sum to totals due to rounding. ",,,,,,,,,,
^Less than 0.05%.,,,,,,,,,,
a/Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology. ,,,,,,,,,,
"b/Includes inmates in custody on June 28, 2019. ",,,,,,,,,,
"c/The U.S. Census Bureau identifies two types of urban areas: Urban Clusters (UCs) of 2,500 to 49,999 people and Urbanized Areas (UAs) of 50,000 or more people. It identifies “rural” as all populations, housing, and territories excluded from UCs and UAs. In this report, urban jail jurisdictions are those located in counties with 50% or more of the population living in UCs or UAs as of the 2010 U.S. Census. Rural jail jurisdictions are those located in counties with less than 50% of the population living in UCs or UAs as of the 2010 U.S. Census. See Methodology.",,,,,,,,,,
d/Inmates age 18 or older. ,,,,,,,,,,
e/Inmates younger than age 18. ,,,,,,,,,,
"f/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,
g/Sentenced or awaiting sentencing on a conviction.,,,,,,,,,,
h/Awaiting court action on a current charge or held in jail for other reasons.,,,,,,,,,,
i/Includes civil infractions and unknown offenses.,,,,,,,,,,
"j/Includes the U.S. Marshals Service, the BOP, U.S. Immigration and Customs Enforcement, the Bureau of Indian Affairs, and other federal authorities. ",,,,,,,,,,
k/Includes state prison authorities for own state and other states. ,,,,,,,,,,
l/Includes American Indian and Alaska Native tribal governments.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Jails, 2019.  ",,,,,,,,,,
