Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: cj0519stt14.csv,,,,,,,,,,,,,,,
"Table 14. Average daily population, admissions, and average jail time in local jails, by state, 2013 and 2019",,,,,,,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2013 and 2019",,,,,,,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 14. Average daily population, admissions, and average jail time in local jails, by state, 2013 and 2019",,,,,,,,,,,,,,,
,,2013/b,,,,2019/c,,,,"Percent change, 2013–2019",,,,,
State/a,,Average daily population/d,Admissions/e,Estimated average time in jail/f,,Average daily population/d,Admissions/e,Estimated average time in jail/f ,,Average daily population,,Admissions,,Estimated average time in jail,
,U.S. total,"757,120","11,950,630",23.1, days,"741,950","10,322,570",26.2, days,-2,%,-13.6,%,13.5,%
Northeast,,"97,820","693,090",51.5, days,"76,880","605,090",46.4, days,-21.4,%,-12.7,%,-10,%
,Maine,"1,790","38,000",17.2,,"1,700","31,700",19.6,,-5,,-16.6,,13.8,
,Massachusetts,"10,710","58,120",67.3,,"9,570","56,430",61.9,,-10.6,,-2.9,,-8,
,New Hampshire,"2,010","20,840",35.2,,"1,500","23,610",23.2,,-25.4,,13.3,,-34.1,
,New Jersey,"16,400","147,090",40.7,,"9,980","123,870",29.4,,-39.1,,-15.8,,-27.7,
,New York,"28,550","219,320",47.5,,"22,090","169,090",47.7,,-22.6,,-22.9,,0.4,
,Pennsylvania,"38,360","209,730",66.8,,"32,040","200,400",58.4,,-16.5,,-4.4,,-12.6,
Midwest,,"126,470","2,468,500",18.7, days,"128,490","2,334,080",20.1, days,1.6,%,-5.4,%,7.4,%
,Illinois,"22,260","315,550",25.7,,"16,410","254,590",23.5,,-26.3,,-19.3,,-8.6,
,Indiana,"16,980","270,420",22.9,,"20,640","247,920",30.4,,21.6,,-8.3,,32.6,
,Iowa,"4,210","127,180",12.1,,"5,120","134,740",13.9,,21.6,,5.9,,14.8,
,Kansas,"7,160","153,910",17,,"8,100","161,100",18.4,,13.1,,4.7,,8.1,
,Michigan,"18,960","359,630",19.2,,"16,270","282,060",21.1,,-14.2,,-21.6,,9.4,
,Minnesota,"6,630","188,660",12.8,,"7,010","201,250",12.7,,5.7,,6.7,,-0.9,
,Missouri,"12,080","252,130",17.5,,"12,710","259,640",17.9,,5.2,,3,,2.2,
,Nebraska,"3,630","72,620",18.2,,"4,260","67,020",23.2,,17.4,,-7.7,,27.2,
,North Dakota,"1,330","39,370",12.3,,"1,420","46,730",11.1,,6.8,,18.7,,-10,
,Ohio,"18,100","405,310",16.3,,"20,970","401,070",19.1,,15.9,,-1,,17.1,
,South Dakota,"1,850","56,480",12,,"2,040","67,580",11,,10.3,,19.7,,-7.8,
,Wisconsin,"13,290","227,240",21.3,,"13,530","210,370",23.5,,1.8,,-7.4,,10,
South,,"374,130","6,178,000",22.1, days,"386,860","5,007,530",28.2, days,3.4,%,-18.9,%,27.6,%
,Alabama,"15,050","286,840",19.2,,"15,900","283,910",20.4,,5.6,,-1,,6.7,
,Arkansas,"8,280","258,320",11.7,,"9,180","173,680",19.3,,10.9,,-32.8,,64.9,
,District of Columbia,"2,290","12,010",69.6,,"1,870","10,480",65.1,,-18.3,,-12.7,,-6.4,
,Florida,"54,910","732,600",27.4,,"57,360","665,350",31.5,,4.5,,-9.2,,15,
,Georgia,"43,290","602,650",26.2,,"44,190","595,960",27.1,,2.1,,-1.1,,3.2,
,Kentucky,"19,660","548,730",13.1,,"26,270","296,580",32.3,,33.6,,-46,,147.2,
,Louisiana,"31,890","317,090",36.7,,"30,790","263,040",42.7,,-3.4,,-17,,16.4,
,Maryland,"12,130","156,660",28.3,,"8,860","79,950",40.4,,-27,,-49,,43.1,
,Mississippi,"13,710","125,960",39.7,,"14,070","156,140",32.9,,2.6,,24,,-17.2,
,North Carolina,"19,250","417,200",16.8,,"20,420","385,010",19.4,,6.1,,-7.7,,14.9,
,Oklahoma,"14,240","409,290",12.7,,"11,410","210,610",19.8,,-19.9,,-48.5,,55.7,
,South Carolina,"11,670","301,590",14.1,,"11,910","185,360",23.5,,2.1,,-38.5,,66.1,
,Tennessee,"28,100","461,380",22.2,,"31,180","401,860",28.3,,11,,-12.9,,27.4,
,Texas,"65,680","1,144,690",20.9,,"70,160","965,870",26.5,,6.8,,-15.6,,26.6,
,Virginia,"29,510","355,550",30.3,,"28,130","285,370",36,,-4.7,,-19.7,,18.8,
,West Virginia,"4,470","47,440",34.4,,"5,180","48,390",39.1,,15.9,,2,,13.6,
West,,"158,700","2,611,040",22.2, days,"149,710","2,375,880",23, days,-5.7,%,-9,%,3.7,%
,Alaska,80,"5,390",5.4,,60,"4,740",4.6,,-25,,-12.1,,-14.7,
,Arizona,"14,560","210,400",25.3,,"13,140","189,100",25.4,,-9.8,,-10.1,,0.4,
,California,"82,290","1,149,080",26.1,,"76,080","959,470",28.9,,-7.5,,-16.5,,10.7,
,Colorado,"12,560","211,400",21.7,,"13,120","219,850",21.8,,4.5,,4,,0.4,
,Idaho,"3,540","104,540",12.4,,"4,330","113,450",13.9,,22.3,,8.5,,12.7,
,Montana,"2,810","48,420",21.2,,"2,460","42,410",21.2,,-12.5,,-12.4,,0,
