Bureau of Justice Statistics,,,,,,,,,
Filename: cj0519stt15.csv,,,,,,,,,
"Table 15. Average daily population, admissions, and average jail time in local jails, by sex and state, July 1, 2018 to June 30, 2019 ",,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2019",,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,
,,,,,,,,,
"Table 15. Average daily population, admissions, and average jail time in local jails, by sex and state, July 1, 2018 to June 30, 2019 ",,,,,,,,,
,,Male,,,,Female,,,
State/a,,Average daily population/b,Admissions/c,Estimated average time in jail/d,,Average daily population/b,Admissions/c,Estimated average time in jail/d,
,U.S. total,"627,410","7,917,650",28.9, days,"114,540","2,404,930",17.4, days
Northeast,,"68,080","496,120",50.1, days,"8,810","108,960",29.5, days
,Maine,"1,410","24,260",21.2,,290,"7,440",14.2,
,Massachusetts,"9,020","49,410",66.6,,540,"7,020",28.1,
,New Hampshire,"1,250","17,870",25.5,,250,"5,730",15.9,
,New Jersey,"9,130","106,390",31.3,,850,"17,470",17.8,
,New York,"19,870","139,200",52.1,,"2,220","29,890",27.1,
,Pennsylvania,"27,390","158,990",62.9,,"4,650","41,410",41,
Midwest,,"107,310","1,778,690",22, days,"21,180","555,390",13.9, days
,Illinois,"14,580","197,920",26.9,,"1,840","56,680",11.8,
,Indiana,"16,650","189,140",32.1,,"3,990","58,790",24.8,
,Iowa,"4,290","101,070",15.5,,840,"33,670",9.1,
,Kansas,"6,770","119,620",20.7,,"1,330","41,480",11.7,
,Michigan,"13,650","218,700",22.8,,"2,620","63,360",15.1,
,Minnesota,"5,970","152,410",14.3,,"1,050","48,840",7.8,
,Missouri,"10,680","201,420",19.4,,"2,030","58,230",12.7,
,Nebraska,"3,560","50,480",25.7,,700,"16,540",15.4,
,North Dakota,"1,140","34,410",12.1,,280,"12,330",8.3,
,Ohio,"17,000","301,110",20.6,,"3,970","99,970",14.5,
,South Dakota,"1,560","49,350",11.5,,480,"18,230",9.6,
,Wisconsin,"11,470","163,080",25.7,,"2,060","47,290",15.9,
South,,"326,120","3,820,550",31.2, days,"60,740","1,186,980",18.7, days
,Alabama,"13,020","208,420",22.8,,"2,880","75,490",13.9,
,Arkansas,"7,540","126,840",21.7,,"1,640","46,840",12.8,
,District of Columbia,"1,750","9,070",70.4,,120,"1,410",31.1,
,Florida,"48,110","507,410",34.6,,"9,250","157,940",21.4,
,Georgia,"37,660","460,610",29.8,,"6,540","135,350",17.6,
,Kentucky,"20,680","214,490",35.2,,"5,590","82,080",24.9,
,Louisiana,"27,930","209,940",48.6,,"2,850","53,100",19.6,
,Maryland,"7,870","65,430",43.9,,990,"14,520",24.9,
,Mississippi,"12,660","125,350",36.9,,"1,410","30,790",16.7,
,North Carolina,"17,280","294,280",21.4,,"3,140","90,740",12.6,
,Oklahoma,"9,180","154,170",21.7,,"2,230","56,440",14.4,
,South Carolina,"10,180","142,590",26.1,,"1,730","42,780",14.8,
,Tennessee,"25,000","289,790",31.5,,"6,180","112,080",20.1,
,Texas,"59,530","756,300",28.7,,"10,630","209,570",18.5,
,Virginia,"23,570","220,040",39.1,,"4,560","65,320",25.5,
,West Virginia,"4,170","35,830",42.5,,"1,010","12,550",29.4,
West,,"125,900","1,822,290",25.2, days,"23,810","553,590",15.7, days
,Alaska,50,"3,850",4.7,,20,880,8.3,
,Arizona,"10,970","143,000",28,,"2,170","46,100",17.2,
,California,"65,620","756,920",31.6,,"10,460","202,540",18.9,
,Colorado,"10,690","167,000",23.4,,"2,430","52,850",16.8,
,Idaho,"3,310","84,850",14.2,,"1,020","28,590",13,
,Montana,"1,990","30,730",23.6,,470,"11,680",14.7,
,Nevada,"5,690","118,970",17.5,,"1,360","42,160",11.8,
,New Mexico,"5,190","81,710",23.2,,"1,140","29,210",14.2,
,Oregon,"4,980","138,480",13.1,,"1,050","44,330",8.6,
,Utah,"6,040","71,210",31,,"1,290","23,650",19.9,
,Washington,"10,090","201,890",18.2,,"2,090","64,330",11.9,
,Wyoming,"1,290","23,670",19.9,,320,"7,260",16.1,
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology. Details may not sum to totals due to rounding. ",,,,,,,,,
a/See U.S. Census Bureau. (n.d.). Census regions and divisions of the United States. https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf,,,,,,,,,
"b/The sum of all inmates in jail each day for the 12-month period, divided by the number of days in the period.",,,,,,,,,
c/The total number of new admissions to jail during the 12-month period.,,,,,,,,,
"d/The average daily population multiplied by the number of days in the 12-month period, divided by the number of admissions during the period.",,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Jails, 2019.  ",,,,,,,,,
