Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: cj0519stt16.csv,,,,,,,,,,,,,,,,,
"Table 16. Rated capacity and percent of capacity occupied in local jails, by state, 2013 and 2019",,,,,,,,,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2013 and 2019",,,,,,,,,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 16. Rated capacity and percent of capacity occupied in local jails, by state, 2013 and 2019",,,,,,,,,,,,,,,,,
,,2013/b,,,,,,2019/c,,,,,,"Percent change, 2013–2019",,,
State/a,,Rated capacity/d,Total inmates in custody,Percent of capacity occupied/e,,Percent of jail facilities operating at more than 100% of rated capacity,,Rated capacity/d,Total inmates in custody,Percent of capacity occupied/e,,Percent of jail facilities operating at more than 100% of rated capacity,,Rated capacity,,Percent of capacity occupied,
,U.S. total,"904,870","731,570",80.8,%,13.9,%,"907,700","734,470",80.9,%,15,%,0.3,%,0.1,%
Northeast,,"117,180","92,850",79.2,%,10.8,%,"110,060","73,570",66.8,%,5.1,%,-6.1,%,-15.6,%
,Maine,"2,000","1,750",87.5,,27.3,,"2,170","1,620",74.7,,13.4,,8.5,,-14.7,
,Massachusetts,"12,680","10,350",81.6,,17.6,,"14,910","9,260",62.1,,0,,17.6,,-23.9,
,New Hampshire,"2,690","1,840",68.4,,0,,"2,740","1,400",51.1,,0,,1.9,,-25.3,
,New Jersey,"17,640","15,240",86.4,,23.8,,"16,310","9,550",58.6,,0,,-7.5,,-32.2,
,New York,"40,160","26,950",67.1,,2.9,,"35,450","20,450",57.7,,0,,-11.7,,-14,
,Pennsylvania,"42,020","36,720",87.4,,10.6,,"38,470","31,300",81.4,,11.3,,-8.4,,-6.9,
Midwest,,"154,060","118,980",77.2,%,8.6,%,"156,800","125,330",79.9,%,12.9,%,1.8,%,3.5,%
,Illinois,"26,110","20,600",78.9,,4.4,,"25,570","16,490",64.5,,7.9,,-2.1,,-18.3,
