Bureau of Justice Statistics,,,,,,,,
Filename: cj0519stt17.csv,,,,,,,,
"Table 17. Local jails under court order or consent decree to limit the size of their inmate populations or for specific conditions, by state, midyear 2019",,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2019",,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of version: 10/7/2021,,,,,,,,
,,,,,,,,
"Table 17. Local jails under court order or consent decree to limit the size of their inmate populations or for specific conditions, by state, midyear 2019",,,,,,,,
,,,Percent of jail facilities—,,,,,
State/a,,Number of jail facilities that reported data on court orders/consent decrees/b,Under any court order/consent decree,,Ordered to limit size of inmate population,,Under court order for a specific condition/c,
,U.S. total,"2,852",3.9,%,2.4,%,2.9,%
Northeast,,181,2.8,%,1.1,%,2.8,%
,Maine,13,0,,0,,0,
,Massachusetts,18,5.6,,5.6,,5.6,
,New Hampshire,10,0,,0,,0,
,New Jersey,15,6.7,,0,,6.7,
,New York,53,5.7,,1.9,,5.7,
,Pennsylvania,72,0,,0,,0,
Midwest,,914,2.5,%,1.6,%,1.9,%
,Illinois,90,0,,0,,0,
,Indiana,88,4.5,,3.4,,3.4,
,Iowa,91,3.3,,1.1,,2.2,
,Kansas,88,0,,0,,0,
,Michigan,76,5.3,,3.9,,3.9,
,Minnesota,78,3.8,,2.6,,1.3,
,Missouri,101,0,,0,,0,
,Nebraska,57,1.8,,0,,1.8,
,North Dakota,21,14.3,,4.5,,14.3,
,Ohio,128,3.1,,3.1,,2.3,
,South Dakota,24,0,,0,,0,
,Wisconsin,72,1.4,,1.4,,1.4,
South,,"1,324",3.5,%,1.9,%,2.7,%
,Alabama,114,2.6,,0.9,,1.8,
,Arkansas,69,0,,0,,0,
,District of Columbia,1,0,,0,,0,
,Florida,82,9.8,,4.9,,9.8,
,Georgia,161,1.2,,0.6,,1.2,
,Kentucky,76,5.3,,1.3,,3.9,
,Louisiana,95,8.4,,7.4,,6.3,
,Maryland,29,10.3,,0,,10.3,
,Mississippi,74,4.1,,2.7,,2.7,
,North Carolina,91,2.2,,1.1,,1.1,
,Oklahoma,90,3.3,,3.3,,1.1,
,South Carolina,48,2.1,,0,,2.1,
,Tennessee,98,6.1,,4,,3.1,
,Texas,221,0.9,,0.5,,0.9,
,Virginia,64,3.1,,0,,3.1,
,West Virginia,11,0,,0,,0,
West,,433,8.1,%,6.2,%,5.5,%
,Alaska,13,0,,0,,0,
,Arizona,19,5.3,,0,,5.3,
,California,93,31.2,,25.8,,19.4,
,Colorado,59,1.7,,0,,1.7,
,Idaho,34,0,,0,,0,
,Montana,33,0,,0,,0,
,Nevada,19,0,,0,,0,
,New Mexico,27,3.7,,3.7,,3.7,
,Oregon,38,7.9,,5.3,,7.9,
,Utah,26,0,,0,,0,
,Washington,51,0,,0,,0,
,Wyoming,21,0,,0,,0,
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont.",,,,,,,,
a/See U.S. Census Bureau. (n.d.). Census regions and divisions of the United States. https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf,,,,,,,,
"b/Of the 3,116 jail facilities in the U.S., 2,885 responded to the 2019 Census of Jails and 2,852 reported data on court orders and consent decrees.",,,,,,,,
"c/Specific conditions include crowding, recreation, exercise, staffing, medical facilities, procedures or policies, food services, religious practices, programming, and inmate classification.",,,,,,,,
"Source: Bureau of Justice Statistics, Census of Jails, 2019.  ",,,,,,,,
