Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: cj0519stt18.csv,,,,,,,,,,,,,,,
"Table 18. Correctional officers in local jails, by sex, inmate-to-correctional-officer ratio, and state, 2013 and 2019",,,,,,,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Deaths in Custody, 2013 Annual Summary on Inmates Under Jail Jurisdiction; and Census of Jails, 2019",,,,,,,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 18. Correctional officers in local jails, by sex, inmate-to-correctional-officer ratio, and state, 2013 and 2019",,,,,,,,,,,,,,,
,,2013/b,,,,2019/c,,,,"Percent change in correctional officers, 2013–2019",,,,,
State/a,,Total correctional officers/d,Male,Female,Inmate-to-correctional-officer ratio/e,Total correctional officers/d,Male,Female,Inmate-to-correctional-officer ratio/e,Total,,Male,,Female,
,U.S. total,"173,900","123,440","50,460",4.2,"184,060","127,310","56,750",4,5.8,%,3.1,%,12.5,%
Northeast,,"28,420","22,100","6,320",3.3,"36,990","26,740","10,260",2,30.2,%,21,%,62.3,%
,Maine,740,560,180,2.4,600,480,110,2.7,-18.9,,-14.3,,-38.9,
,Massachusetts,"4,170","3,470",700,2.5,"4,560","3,980",580,2,9.4,,14.7,,-17.1,
,New Hampshire,610,510,100,3,560,450,110,2.5,-8.2,,-11.8,,10,
,New Jersey,"4,060","3,280",780,3.8,"4,270","3,430",840,2.2,5.2,,4.6,,7.7,
,New York,"10,670","8,470","2,190",2.5,"18,430","12,300","6,130",1.1,72.7,,45.2,,179.9,
,Pennsylvania,"8,180","5,810","2,370",4.5,"8,580","6,090","2,480",3.6,4.9,,4.8,,4.6,
Midwest,,"31,750","22,590","9,160",3.7,"36,720","26,140","10,580",3.4,15.7,%,15.7,%,15.5,%
,Illinois,"6,550","5,090","1,460",3.1,"6,240","4,700","1,540",2.6,-4.7,,-7.7,,5.5,
,Indiana,"3,370","2,460",910,4.9,"3,420","2,420","1,000",6,1.5,,-1.6,,9.9,
,Iowa,"1,590",950,640,2.5,"1,670","1,000",670,3,5,,5.3,,4.7,
,Kansas,"2,170","1,600",580,3.2,"2,190","1,530",660,3.7,0.9,,-4.4,,13.8,
,Michigan,"3,480","2,670",810,4.7,"7,250","5,830","1,430",2.2,108.3,,118.4,,76.5,
,Minnesota,"2,470","1,630",840,2.6,"2,890","1,960",930,2.4,17,,20.2,,10.7,
,Missouri,"2,670","1,940",730,4.3,"2,520","1,640",880,4.6,-5.6,,-15.5,,20.5,
,Nebraska,"1,280",750,520,2.7,"1,460",850,610,2.9,14.1,,13.3,,17.3,
,North Dakota,410,250,160,3,520,320,200,2.8,26.8,,28,,25,
,Ohio,"4,220","3,080","1,140",4.3,"5,050","3,640","1,410",4.1,19.7,,18.2,,23.7,
,South Dakota,520,330,200,3.2,570,390,190,3.5,9.6,,18.2,,-5,
