Bureau of Justice Statistics,,,,,,,,
Filename: cj0519stt19.csv,,,,,,,,
"Table 19. Characteristics of jail jurisdictions, by urban or rural locality, 2019",,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2019",,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of version: 10/7/2021,,,,,,,,
,,,,,,,,
"Table 19. Characteristics of jail jurisdictions, by urban or rural locality, 2019",,,,,,,,
Characteristic,,,Total,,Urban/a,,Rural/a,
,Number of jail jurisdictions,,"2,850",,787,,"2,063",
Number of inmates,,,,,,,,
,Midyear,,"734,470",,"522,050",,"212,420",
,Average daily population/b,,"741,950",,"528,050",,"213,890",
Mean average daily population at midyear,,,261,,672,,104,
Admissions and releases/c,,,,,,,,
,Admissions/d,,"10,322,570",,"7,244,570",,"3,078,000",
,Releases/e,,"10,203,730",,"7,227,330",,"2,976,400",
,Estimated average time in jail/f,,26.2, days,26.6, days,25.4, days
Capacity,,,,,,,,
,Rated capacity/g,,"907,700",,"653,580",,"254,120",
,Percent of capacity occupied/h,,80.9,%,79.9,%,83.6,%
,Percent of jail jurisdictions operating at more than 100% of rated capacity,,15,%,16.1,%,14.5,%
Correctional officers,,,,,,,,
,Total/i,,"184,060",,"132,990",,"51,070",
,,Male,"127,310",,"93,380",,"33,930",
,,Female,"56,750",,"39,620",,"17,130",
,Inmate-to-correctional-officer ratio/j,,4,,3.9,,4.2,
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology.",,,,,,,,
"a/The U.S. Census Bureau identifies two types of urban areas: Urban Clusters (UCs) of 2,500 to 49,999 people and Urbanized Areas (UAs) of 50,000 or more people. It identifies “rural” as all populations, housing, and territories excluded from UCs and UAs. In this report, urban jail jurisdictions are those located in counties with 50% or more of the population living in UCs or UAs as of the 2010 U.S. Census. Rural jail jurisdictions are those located in counties with less than 50% of the population living in UCs or UAs as of the 2010 U.S. Census. See Methodology.",,,,,,,,
"b/The sum of all inmates in jail each day for the 12-month period from July 1, 2018 to June 30, 2019, divided by the number of days in the period. ",,,,,,,,
"c/Based on the 12-month period from July 1, 2018 to June 30, 2019. ",,,,,,,,
d/The total number of new admissions to jail during the 12-month period.,,,,,,,,
e/The total number of releases from jail during the 12-month period.,,,,,,,,
"f/The average daily population multiplied by the number of days in the 12-month period, divided by the number of admissions during the period.",,,,,,,,
"g/The maximum number of beds or inmates assigned by a rating official to a facility, excluding separate temporary holding areas. ",,,,,,,,
"h/The number of inmates in custody, divided by the rated capacity. ",,,,,,,,
"i/Deputies, monitors, and other custody staff who spend more than 50% of their time with the incarcerated population. ",,,,,,,,
j/The number of inmates in custody per correctional officer.,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Jails, 2019.  ",,,,,,,,
