Bureau of Justice Statistics,,,,,,,,,,,,
Filename: cj0519stt20.csv,,,,,,,,,,,,
"Table 20. Characteristics of public and private jail facilities, midyear 2019",,,,,,,,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2019",,,,,,,,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 20. Characteristics of public and private jail facilities, midyear 2019",,,,,,,,,,,,
Characteristic,,,All jail facilities,,County,,City,,Regional/a,,Private/b,
,Number of facilities,,"3,116",,"2,706",,298,,78,,34,
Purpose of holding inmates/c,,,,,,,,,,,,
,Temporary holding place for detainment of up to 72 hours,,54.6,%,55.1,%,52.4,%,48.9,%,44.6,%
,Detention facility with authority to hold for more than 72 hours,,93.8,,94.7,,87.8,,90.4,,84.3,
,Correctional facility for offenders with sentences usually of 1 year or less,,89.5,,91.7,,71.8,,92,,68.7,
,Correctional facility for felons with sentences of more than 1 year,,33.6,,35,,17.2,,41.9,,43.2,
Total inmates in custody,,,"734,470",,"632,300",,"53,840",,"30,520",,"17,810",
,Adults,,"731,580",,"629,910",,"53,400",,"30,470",,"17,790",
,,Male,"621,070",,"532,780",,"47,030",,"25,270",,"15,990",
,,Female,"110,510",,"97,140",,"6,370",,"5,200",,"1,800",
,Juveniles/d,,"2,880",,"2,380",,450,,40,,20,
Average number of inmates per facility,,,230,,230,,160,,390,,530,
Capacity,,,,,,,,,,,,
,Rated capacity/e,,"907,700",,"784,060",,"74,760",,"28,090",,"20,790",
,Percent of capacity occupied/f,,80.9,%,80.6,%,72,%,108.7,%,85.7,%
,Percent of jail facilities operating at more than 100% of rated capacity,,15.1,,15.3,,6.8,,46.8,,3,
"Note: Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology. Details may not sum to totals due to rounding. ",,,,,,,,,,,,
"a/Regional jails are jointly operated by two or more jail jurisdictions with a formal agreement. Regional jails are located in AR (1), ID (1), KY (6), ME (2), MN (2), MO (1), MS (5), MT (1), NC (3), ND (4), NM (1), OH (4), OR (1), SC (2), TX (1), VA (32), WA (1), and WV (10).",,,,,,,,,,,,
"b/Private jails are located in CA (2), CO (3), FL (1), IN (1), KS (1), LA (5), MS (2), NM (2), OH (1), PA (5), TN (2), and TX (9).",,,,,,,,,,,,
c/Based on facilities that reported valid data.,,,,,,,,,,,,
d/Inmates younger than age 18. ,,,,,,,,,,,,
"e/The maximum number of beds or inmates assigned by a rating official to a facility, excluding separate temporary holding areas. ",,,,,,,,,,,,
"f/The number of inmates in custody, divided by the rated capacity. ",,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Jails, 2019.  ",,,,,,,,,,,,
