Bureau of Justice Statistics,,,,,,
Filename: cj0519stt23.csv,,,,,,
"Table 23. Characteristics of the Federal Bureau of Prisons’ detention facilities and of local jails, midyear 2019",,,,,,
"Report title: Census of Jails, 2005–2019 – Statistical Tables  NCJ 255406",,,,,,
"Data source: Bureau of Justice Statistics, Census of Jails, 2019",,,,,,
"Authors: Zhen Zeng, Ph.D., and Todd D. Minton, BJS Statisticians",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of version: 10/7/2021,,,,,,
,,,,,,
"Table 23. Characteristics of the Federal Bureau of Prisons’ detention facilities and of local jails, midyear 2019",,,,,,
Characteristic,,,Federal detention facilities,,Local jails/a,
,Number of jail facilities,,12,,"3,116",
Total inmates in custody,,,"11,490",,"734,470",
Total average daily population/b,,,"11,440",,"741,950",
,Male,,"10,500",,"627,410",
,Female,,940,,"114,540",
Admissions and releases/c,,,,,,
,Admissions/d,,"80,160",,"10,322,570",
,,Male,"73,920",,"7,917,650",
,,Female,"6,240",,"2,404,930",
,Releases/e,,"79,330",,"10,203,730",
,,Male,"73,040",,"7,829,740",
,,Female,"6,280",,"2,373,990",
,Estimated average time in jail/f,,52, days ,26, days
,,Male,52,,29,
,,Female,55,,17,
Capacity and occupancy,,,,,,
,Rated capacity/g,,"10,000",,"907,700",
,Percent of capacity occupied/h,,114.9,%,80.9,%
Correctional officers,,,,,,
,Total/i,,"1,640",,"184,060",
,,Male,"1,310",,"127,310",
,,Female,330,,"56,750",
,Inmate-to-correctional-officer ratio/j,,7,,4,
Note: Data were adjusted for survey and item nonresponse and rounded to the nearest 10. See Methodology. Details may not sum to totals due to rounding.,,,,,,
"a/Includes all locally operated jails in 45 states and the District of Columbia. Includes 15 locally operated jails in Alaska. Excludes the Federal Bureau of Prisons’ detention facilities and the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont.",,,,,,
"b/The sum of all inmates in local jails each day for the 12-month period from July 1, 2018 to June 30, 2019, divided by the number of days in the period.",,,,,,
"c/Based on the 12-month period from July 1, 2018 to June 30, 2019. ",,,,,,
d/The total number of new admissions to jail during the 12-month period.,,,,,,
e/The total number of releases from jail during the 12-month period.,,,,,,
"f/The average daily population multiplied by the number of days in the 12-month period, divided by the number of admissions during the period.",,,,,,
"g/The maximum number of beds or inmates assigned by a rating official to a facility, excluding separate temporary holding areas. ",,,,,,
"h/The number of inmates in custody, divided by the rated capacity. ",,,,,,
"i/Deputies, monitors, and other custody staff who spend more than 50% of their time with the incarcerated population. ",,,,,,
j/The number of inmates in custody per correctional officer.,,,,,,
"Source: Bureau of Justice Statistics, Census of Jails, 2019. ",,,,,,
