Bureau of Justice Statistics,
File name: ftelea9716at01.csv,
"Appendix table 1. Standard errors for table 1: Officer-to-resident ratio for general-purpose law enforcement agencies, 1997–2016",
"Report title: Full-Time Employees in Law Enforcement Agencies, 1997-2016   NCJ 251762",
"Data source:  Bureau of Justice Statistics, Law Enforcement Management and Administrative Statistics surveys, 1997–2016",
"Author: Shelley Hyland, Ph.D., BJS Statistician",
Refer questions to: askbjs@usdoj.gov (202) 307-0765,
Date of version: 8/28/2018,
,
"Appendix table 1. Standard errors for table 1: Officer-to-resident ratio for general-purpose law enforcement agencies, 1997–2016",
Year,"Full-time sworn officers per 1,000 U.S. residents"
1997,0.04
2000,0.02
2003,0.03
2007,0.04
2013,0.06
2016,0.05
"Source: Bureau of Justice Statistics, Law Enforcement Management and Administrative Statistics surveys, 1997–2016.",
