Bureau of Justice Statistics,,,,,,,
File name: ftelea9716at02.csv,,,,,,,
"Appendix table 2. Standard errors for table 2: Full-time employees in general-purpose state and local law enforcement agencies, by agency type, 1997–2016",,,,,,,
"Report title: Full-Time Employees in Law Enforcement Agencies, 1997-2016   NCJ 251762",,,,,,,
"Data source:  Bureau of Justice Statistics, Law Enforcement Management and Administrative Statistics surveys, 1997–2016",,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,
Date of version: 8/28/2018,,,,,,,
,,,,,,,
"Appendix table 2. Standard errors for table 2: Full-time employees in general-purpose state and local law enforcement agencies, by agency type, 1997–2016",,,,,,,
Agency type,,1997,2000,2003,2007,2013,2016
Total full-time employees,,"13,041","8,649","13,725","16,717","26,669","25,849"
,Local police,"11,358","7,026","10,612","13,225","22,539","21,923"
,Sheriff's office,"6,408","5,044","8,703","9,268","14,255","13,694"
,Primary state police,0,0,0,"4,320",0,0
Total full-time sworn officers,,"10,043","6,007","9,072","10,703","18,026","17,274"
,Local police,"9,094","5,356","7,894","9,384","16,460","15,834"
,Sheriff's office,"4,262","2,719","4,471","4,237","7,348","6,905"
,Primary state police,0,0,0,"2,926",0,0
Total full-time civilians,,"3,625","3,394","6,017","7,077","9,853","9,930"
,Local police,"2,376","1,854","2,903","4,048","6,385","6,343"
,Sheriff's office,"2,738","2,843","5,270","5,553","7,504","7,640"
,Primary state police,0,0,0,"1,689",0,0
"Source: Bureau of Justice Statistics, Law Enforcement Management and Administrative Statistics surveys, 1997–2016.",,,,,,,
