Bureau of Justice Statistics,,,,
File name: ftelea9716at03.csv,,,,
"Appendix table 3. Base weights, non-response adjustments, and final weights by strata, by agency type, 2016",,,,
"Report title: Full-Time Employees in Law Enforcement Agencies, 1997-2016   NCJ 251762",,,,
"Data source:  Bureau of Justice Statistics, Law Enforcement Management and Administrative Statistics survey, 2016",,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,
Date of version: 8/28/2018,,,,
,,,,
"Appendix table 3. Base weights, non-response adjustments, and final weights by strata, by agency type, 2016",,,,
Number of full-time sworn officers,,Base weight,Non-response adjustment,Final weight
Local police,,~,~,~
,100 or more,1,1.131,1.131
,50–99.5,5.879,1.222,7.185
,25–49.5,5.897,1.172,6.914
,10–24.5,5.897,1.183,6.978
,5–9.5,5.873,1.244,7.305
,2–4.5,5.893,1.38,8.134
,1–1.5,5.885,1.557,9.162
Sheriff's office,,~,~,~
,100 or more,1,1.321,1.321
,50–99.5,5.855,1.265,7.408
,25–49.5,5.899,1.253,7.392
,10–24.5,5.874,1.5,8.811
,5–9.5,5.878,1.304,7.667
,2–4.5,5.763,1.583,9.125
,1–1.5,6.25,2,12.5
Primary state police,,1,1,1
"Note: Includes both full- and part-time officers, with a weight of 0.5 assigned to part-time officers.",,,,
~Not applicable.,,,,
"Source: Bureau of Justice Statistics, Law Enforcement Management and Administrative Statistics survey, 2016. ",,,,
