Bureau of Justice Statistics,,,
File name: ftelea9716t03.csv,,,
"Table 3. LEMAS response rates, by agency type, 2016",,,
"Report title: Full-Time Employees in Law Enforcement Agencies, 1997-2016   NCJ 251762",,,
"Data source:  Bureau of Justice Statistics, Law Enforcement Management and Administrative Statistics survey, 2016",,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 8/28/2018,,,
,,,
"Table 3. LEMAS response rates, by agency type, 2016",,,
Number of full-time sworn officers,,Response rate,
,Total,80.1,%
Local police,,81.7,%
,100 or more,88.4,
,50–99.5,81.8,
,25–49.5,85.3,
,10–24.5,84.5,
,5–9.5,80.4,
,2–4.5,72.4,
,1–1.5,64.2,
Sheriff’s office,,74.1,%
,100 or more,75.7,
,50–99.5,79,
,25–49.5,79.8,
,10–24.5,66.7,
,5–9.5,76.7,
,2–4.5,63.2,
,1–1.5,50,
Primary state police,,89.8,%
"Note: Includes both full- and part-time officers, with a weight of 0.5 assigned to part-time officers. ",,,
"Source: Bureau of Justice Statistics, Law Enforcement Management and Administrative Statistics survey, 2016. ",,,
