Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: mlj0018stat01.csv,,,,,,,,,,,,,,
"Appendix table 1. Estimated number of local jail inmates in custody on an average day, by inmate characteristics, 2000–2018",,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–2018; Mortality in Correctional Institutions, 2000 and 2008–2018; National Inmate Survey, 2007, 2009, 2011, and 2012; and Survey of Inmates in Local Jails, 2002",,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Appendix table 1. Estimated number of local jail inmates in custody on an average day, by inmate characteristics, 2000–2018",,,,,,,,,,,,,,
Characteristic,,"Custody population, 2000–2018",2000,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Total,"13,653,600","597,900","778,700","747,900","732,000","720,900","745,200","712,700","729,100","711,600","717,500","729,000","727,600"
Sex,,,,,,,,,,,,,,
,Male,"11,863,500","529,700","679,800","656,700","640,200","629,900","645,800","613,800","625,400","608,600","610,800","618,400","616,600"
,Female,"1,790,200","68,200","98,900","91,200","91,800","91,000","99,400","98,900","103,800","103,000","106,700","110,500","111,000"
Race/ethnicity,,,,,,,,,,,,,,
,White/a,"4,879,200","215,000","276,500","264,200","254,800","247,200","251,700","245,700","260,600","261,100","260,300","275,800","273,300"
  ,Black/a,"4,806,100","239,600","284,400","271,100","258,800","248,500","250,300","212,300","231,000","224,600","220,600","220,900","213,000"
,Hispanic,"2,750,800","110,600","151,900","154,000","155,100","157,000","166,700","159,800","156,500","147,800","157,800","154,700","155,300"
,"Other/a,b","1,217,500","32,700","65,900","58,600","63,300","68,200","76,600","94,900","81,000","78,200","78,800","77,500","86,000"
Age,,,,,,,,,,,,,,
,17 or younger,"112,000","7,300","7,600","7,000","7,400","5,800","5,400","4,500","4,100","3,500","3,800","3,500","3,400"
,18–24,"3,653,000","169,300","210,500","204,000","195,300","188,600","190,900","182,700","187,000","182,700","184,100","187,200","186,800"
,25–34,"4,520,800","191,700","249,300","243,500","242,900","244,300","257,500","246,500","252,400","246,500","248,400","252,500","252,100"
,35–44,"3,125,900","156,200","178,800","165,200","158,300","153,000","155,000","148,400","151,900","148,400","149,500","152,000","151,700"
,45–54,"1,775,200","60,200","105,900","100,900","100,300","100,500","105,600","101,100","103,500","101,100","101,900","103,500","103,400"
,55 or older,"466,800","13,200","26,700","27,400","27,900","28,700","30,800","29,500","30,200","29,500","29,700","30,200","30,200"
Legal status,,,,,,,,,,,,,,
,Convicted/c,"5,217,900","263,100","288,900","282,700","284,800","284,000","293,600","271,500","271,300","267,100","250,400","257,500","244,900"
,Unconvicted/d,"8,435,200","334,800","489,800","465,200","447,300","436,900","451,600","441,200","457,800","444,500","467,000","471,500","482,800"
Jail size/e,,,,,,,,,,,,,,
   ,49 or fewer inmates,"420,000","27,500","21,200","20,800","21,000","21,100","21,400","20,100","20,200","20,700","20,100","19,800","19,200"
,50–99,"716,500","38,800","38,600","37,600","36,100","35,300","36,100","35,500","37,000","36,700","36,000","36,200","35,300"
,100–249,"1,763,300","75,900","90,800","91,400","94,900","94,400","93,600","92,300","96,600","99,300","104,700","102,800","101,800"
,250–499,"1,937,000","75,500","104,800","102,800","98,900","101,400","112,000","102,500","110,800","107,800","110,000","116,300","123,700"
,500–999,"2,306,500","97,600","125,900","121,100","128,900","127,100","129,400","128,400","129,000","127,300","134,600","136,000","137,500"
,"1,000 or more","6,510,200","282,600","397,500","374,300","352,200","341,500","352,700","334,000","335,500","319,900","312,200","317,800","309,900"
"Note: Data are rounded to the nearest 100. Data may have been revised from previously published statistics. Details may not sum to totals due to rounding. Subpopulation estimates, such as sex, race or ethnicity, and age, were based on the reported proportion of the subpopulation in comparison to the total average daily population (ADP). Subpopulations for legal status were estimated using data from the Annual Survey of Jails. Subpopulations for sex and jail size were based on total counts as reported to the Mortality in Correctional Institutions. See Methodology.",,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, Other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races.",,,,,,,,,,,,,,
c/Includes inmates who returned on a probation or parole violation.,,,,,,,,,,,,,,
d/Includes inmates whose status was marked as other or was unspecified.,,,,,,,,,,,,,,
e/Jail size is based on the ADP.,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–2018; Mortality in Correctional Institutions, 2000 and 2008–2018; National Inmate Survey, 2007, 2009, 2011, and 2012; and Survey of Inmates in Local Jails, 2002.",,,,,,,,,,,,,,
