Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0018stat02.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 2. Illness mortality rate per 100,000 local jail inmates within each demographic group, by decedent characteristics, 2008–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2006–2018; and Mortality in Correctional Institutions, 2006–2018",,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 2. Illness mortality rate per 100,000 local jail inmates within each demographic group, by decedent characteristics, 2008–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,2015,2016,2017,2018
,Total,71,,,67,,,62,,,63,,,65,,,66,,,69,70,72,73,72
Sex,,,,,,,,,,,,,,,,,,,,,,,,
,Male,70,,,66,,,62,,,63,,,64,,,66,,,69,70,71,73,72
,Female,78,,,72,,,67,,,67,,,70,,,67,,,72,70,77,74,75
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,
,White/a,82,,,82,,,80,,,88,,,92,,,94,,,96,97,102,103,101
  ,Black/a,88,,,79,,,72,,,71,,,75,,,77,,,82,80,78,79,81
,Hispanic,41,,,38,,,33,,,30,,,28,,,32,,,37,42,41,42,40
,"Other/a,b",18,,,17,,,15,,,11,,,11,,,10,,,13,14,19,18,17
Age,,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,5, !,,5, !,,9, !,,15, !,,11, !,,6, !,,0,0,0,0,0
,18–24,8,,,7,,,8,,,9,,,8,,,7,,,7,8,9,11,11
,25–34,24,,,22,,,20,,,22,,,22,,,23,,,23,25,27,26,26
,35–44,75,,,66,,,57,,,56,,,53,,,56,,,60,62,58,60,59
,45–54,191,,,176,,,165,,,159,,,167,,,164,,,167,154,151,145,133
,55 or older,550,,,534,,,508,,,517,,,518,,,520,,,557,582,645,676,707
Legal status,,,,,,,,,,,,,,,,,,,,,,,,
,Convicted/c,46,,,47,,,47,,,48,,,50,,,50,,,56,55,57,57,58
,Unconvicted/d,85,,,78,,,71,,,72,,,75,,,76,,,77,79,81,82,80
"Note: Based on 3-year rolling averages. Labels show the most recent year only (for example, 2006–2008 is shown as 2008). Mortality rates are per 100,000 inmates held in the custody of local jails. Mortality rates are based on the annual number of deaths and the average daily population. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 29.",,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, Other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races. Due to the small number of deaths and local jail populations of American Indians and Alaska Natives (AIANs), mortality rates for AIANs are unstable and not shown. ",,,,,,,,,,,,,,,,,,,,,,,,
c/Includes inmates who returned on a probation or parole violation.,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes inmates whose status was marked as other or was unspecified.,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2006–2018; and Mortality in Correctional Institutions, 2006–2018.",,,,,,,,,,,,,,,,,,,,,,,,
