Bureau of Justice Statistics,,,,,,,,,,,,
Filename: mlj0018stat03.csv,,,,,,,,,,,,
"Appendix table 3. Heart disease mortality rate per 100,000 local jail inmates within each demographic group, by decedent characteristics, 2008–2018 (3-year rolling averages)",,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2006–2018; and Mortality in Correctional Institutions, 2006–2018",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,
,,,,,,,,,,,,
"Appendix table 3. Heart disease mortality rate per 100,000 local jail inmates within each demographic group, by decedent characteristics, 2008–2018 (3-year rolling averages)",,,,,,,,,,,,
Characteristic,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Total,28,27,28,31,34,35,35,35,37,39,40
Sex,,,,,,,,,,,,
,Male,29,27,28,32,34,36,36,36,38,40,41
,Female,24,24,27,28,32,31,33,30,31,30,34
Race/ethnicity,,,,,,,,,,,,
,White/a,34,35,38,47,51,52,50,48,51,54,55
  ,Black/a,35,31,31,34,40,44,46,45,44,45,49
,Hispanic,12,13,14,11,10,10,13,15,16,17,18
,"Other/a,b",8,7,6,6,6,5,6,7,11,10,8
Age,,,,,,,,,,,,
,17 or younger,0,0,0,0,0,0,0,0,0,0,0
,18–24,2,3,3,3,3,4,4,3,3,4,5
,25–34,8,7,7,9,10,10,10,11,12,12,12
,35–44,30,27,25,27,29,30,29,29,28,31,31
,45–54,73,68,72,81,86,88,85,85,84,84,76
,55 or older,255,247,253,273,293,296,307,306,344,368,412
Legal status,,,,,,,,,,,,
,Convicted/c,20,20,22,25,26,27,28,28,30,30,32
,Unconvicted/d,33,30,31,35,39,40,40,39,41,43,44
"Note: Based on 3-year rolling averages. Labels show the most recent year only (for example, 2006–2008 is shown as 2008). Mortality rates are per 100,000 inmates held in the custody of local jails. Mortality rates are based on the annual number of deaths and the average daily population. See Methodology.",,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, Other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races. Due to the small number of deaths and local jail populations of American Indians and Alaska Natives (AIANs), mortality rates for AIANs are unstable and not shown. ",,,,,,,,,,,,
c/Includes inmates who returned on a probation or parole violation.,,,,,,,,,,,,
d/Includes inmates whose status was marked as other or was unspecified.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2006–2018; and Mortality in Correctional Institutions, 2006–2018.",,,,,,,,,,,,
