Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0018stat04.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 4. Suicide mortality rate per 100,000 local jail inmates within each demographic group, by decedent characteristics, 2008–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2006–2018; and Mortality in Correctional Institutions, 2006–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 4. Suicide mortality rate per 100,000 local jail inmates within each demographic group, by decedent characteristics, 2008–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,
,Total,34,,,35,,,37,,,42,,,42,,,43,,,46,,,49,,,50,,,47,,,45,
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,36,,,37,,,38,,,43,,,44,,,45,,,48,,,52,,,52,,,49,,,47,
,Female,19,,,24,,,28,,,32,,,28,,,28,,,32,,,36,,,37,,,35,,,36,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White/a,65,,,71,,,76,,,87,,,89,,,89,,,93,,,100,,,100,,,94,,,89,
  ,Black/a,14,,,14,,,13,,,15,,,15,,,18,,,20,,,21,,,18,,,17,,,16,
,Hispanic,20,,,18,,,19,,,22,,,22,,,25,,,24,,,28,,,27,,,27,,,26,
,"Other/a,b",17,,,20,,,20,,,17,,,14,,,12,,,15,,,13,,,14,,,12,,,13,
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,39, !,,28, !,,23, !,,20, !,,27, !,,32, !,,43, !,,41, !,,35, !,,46, !,,38, !
,18–24,23,,,25,,,23,,,26,,,26,,,27,,,27,,,26,,,25,,,22,,,19,
,25–34,29,,,30,,,35,,,41,,,40,,,42,,,43,,,47,,,46,,,46,,,42,
,35–44,44,,,46,,,46,,,52,,,53,,,53,,,58,,,62,,,62,,,58,,,60,
,45–54,44,,,47,,,50,,,56,,,53,,,50,,,54,,,63,,,70,,,68,,,62,
,55 or older,53,,,54,,,57,,,56,,,64,,,79,,,93,,,104,,,97,,,87,,,100,
Legal status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Convicted/c,14,,,16,,,18,,,20,,,19,,,19,,,20,,,23,,,25,,,26,,,26,
,Unconvicted/d,45,,,47,,,49,,,55,,,56,,,59,,,61,,,66,,,64,,,59,,,55,
"Note: Based on 3-year rolling averages. Labels show the most recent year only (for example, 2006–2008 is shown as 2008). Mortality rates are per 100,000 inmates held in the custody of local jails. Mortality rates are based on the annual number of deaths and the average daily population. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 29.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, Other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races. Due to the small number of deaths and local jail populations of American Indians and Alaska Natives (AIANs), mortality rates for AIANs are unstable and not shown. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes inmates who returned on a probation or parole violation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes inmates whose status was marked as other or was unspecified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2006–2018; and Mortality in Correctional Institutions, 2006–2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
