Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0018stat05.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 5. Mortality rate from accidents, homicides, or drug or alcohol intoxication per 100,000 local jail inmates within each demographic group, by decedent characteristics, 2008–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2006–2018; and Mortality in Correctional Institutions, 2006–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 5. Mortality rate from accidents, homicides, or drug or alcohol intoxication per 100,000 local jail inmates within each demographic group, by decedent characteristics, 2008–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,
,Total,15,,,13,,,13,,,15,,,14,,,16,,,17,,,20,,,21,,,24,,,27,
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,15,,,14,,,13,,,15,,,14,,,15,,,16,,,18,,,20,,,23,,,27,
,Female,14,,,11,,,12,,,17,,,17,,,20,,,22,,,27,,,25,,,29,,,32,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White/a,22,,,21,,,21,,,25,,,26,,,27,,,30,,,32,,,34,,,37,,,42,
  ,Black/a,13,,,10,,,9,,,10,,,9,,,11,,,13,,,16,,,16,,,19,,,22,
,Hispanic,12,,,10,,,7,,,10,,,9,,,11,,,11,,,14,,,14,,,17,,,19,
,"Other/a,b",2, !,,3, !,,4, !,,8,,,5,,,5,,,2, !,,4,,,6,,,7,,,6,
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,5, !,,9, !,,5, !,,5, !,,0,,,6, !,,7, !,,17, !,,18, !,,18, !,,9, !
,18–24,9,,,6,,,6,,,6,,,7,,,7,,,8,,,9,,,9,,,9,,,9,
,25–34,14,,,12,,,10,,,12,,,13,,,14,,,15,,,17,,,19,,,23,,,26,
,35–44,18,,,17,,,17,,,20,,,17,,,19,,,20,,,23,,,25,,,28,,,36,
,45–54,20,,,20,,,20,,,24,,,21,,,24,,,27,,,31,,,30,,,31,,,35,
,55 or older,27,,,35,,,41,,,46,,,40,,,43,,,46,,,58,,,64,,,72,,,84,
Legal status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Convicted/c,9,,,7,,,8,,,11,,,11,,,12,,,11,,,13,,,15,,,16,,,20,
,Unconvicted/d,19,,,17,,,16,,,17,,,16,,,19,,,21,,,24,,,25,,,28,,,31,
"Note: Based on 3-year rolling averages. Labels show the most recent year only (for example, 2006–2008 is shown as 2008). Mortality rates are per 100,000 inmates held in the custody of local jails. Mortality rates are based on the annual number of deaths and the average daily population. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 29.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, Other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races. Due to the small number of deaths and local jail populations of American Indians and Alaska Natives (AIANs), mortality rates for AIANs are unstable and not shown. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes inmates who returned on a probation or parole violation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes inmates whose status was marked as other or was unspecified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2006–2018; and Mortality in Correctional Institutions, 2006–2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
