Bureau of Justice Statistics,,,,
Filename: mlj0018stf01.csv,,,,
"Figure 1. Mortality rate per 100,000 local jail inmates, by cause of death, 2000–2018",,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2018",,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 4/29/2021,,,,
,,,,
"Figure 1. Mortality rate per 100,000 local jail inmates, by cause of death, 2000–2018",,,,
Cause of death,All causes,Illness,Suicide,Drug/alcohol intoxication
2000,151,86,48,6
2001,148,76,49,9
2002,145,76,47,8
2003,146,74,43,13
2004,143,74,42,11
2005,141,68,39,11
2006,142,78,36,11
2007,141,78,36,10
2008*,123,57,29,6
2009,128,66,41,9
2010,125,65,42,7
2011,123,59,43,10
2012,129,71,40,8
2013,138,68,46,10
2014,144,69,50,13
2015,154,73,52,13
2016,149,75,46,16
2017,151,72,43,21
2018,154,71,46,24
Note: Mortality rates are based on the annual number of deaths and the average daily population. See table 3 and appendix table 6 for rates. ,,,,
"*In 2008, a high number of illness cases were missing cause of death information and were classified as other/unknown. See Methodology. ",,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2018. ",,,,
