Bureau of Justice Statistics,,,,,,,
Filename: mlj0018stf02.csv,,,,,,,
"Figure 2. Percent of deaths of local jail inmates due to illness, by type of illness, 2000, 2010, and 2018",,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000, 2010, and 2018",,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of version: 4/29/2021,,,,,,,
,,,,,,,
"Figure 2. Percent of deaths of local jail inmates due to illness, by type of illness, 2000, 2010, and 2018",,,,,,,
Type of illness,2000,,,2010,,,2018
Heart disease,21.9,%,,26.4,%,,25.9
Cancer,3.4,,,3.7,,,3
AIDS-related/a,6.3,,,2.8,,,0.8
Respiratory disease,3.4,,,2,,,3.1
Liver disease,2.5,,,2.7,,,0.8
All other illnesses/b,19.5,,,14.4,,,12.3
Note: Data may have been revised from previously published statistics. See table 2 for data.,,,,,,,
a/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,
"b/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses.",,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000, 2010, and 2018.",,,,,,,
