Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0018stt02.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Percent of deaths of local jail inmates, by cause of death, 2000 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Percent of deaths of local jail inmates, by cause of death, 2000 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cause of death,,2000,,,2008/a,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,
,All causes,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%
Illness,,57.1,%,,46.3,%,,51,%,,52,%,,47.9,%,,55,%,,48.9,%,,47.7,%,,47.4,%,,50.1,%,,47.5,%,,46,%
,Heart disease,21.9,,,18.9,,,21.6,,,26.4,,,26.6,,,28.1,,,26.4,,,23,,,23.4,,,27.8,,,25.6,,,25.9,
,AIDS-related/b,6.3,,,3.3,,,2.8,,,2.8,,,1.5,,,2.2,,,2,,,1.6,,,0.9,,,1.1,,,1.2,,,0.8,
,Cancer,3.4,,,2.6,,,4.9,,,3.7,,,3.6,,,4.6,,,4.1,,,3.6,,,3.8,,,4.4,,,3.7,,,3,
,Respiratory disease,3.4,,,3.3,,,3.3,,,2,,,2.3,,,2.9,,,3,,,4,,,3.1,,,2.4,,,3.1,,,3.1,
,Liver disease,2.5,,,3.3,,,3.1,,,2.7,,,1.4,,,2.9,,,1.8,,,2.6,,,1.8,,,1.8,,,1.5,,,0.8,
,All other illnesses/c,19.5,,,14.8,,,15.2,,,14.4,,,12.6,,,14.3,,,11.6,,,12.9,,,14.4,,,12.6,,,12.4,,,12.3,
Suicide,,32,%,,23.8,%,,31.6,%,,33.2,%,,35,%,,31.4,%,,33.3,%,,35,%,,33.8,%,,31,%,,28.6,%,,29.9,%
Drug/alcohol intoxication,,4.1,%,,4.7,%,,6.8,%,,5.9,%,,8.2,%,,5.9,%,,7.3,%,,8.9,%,,8.4,%,,10.4,%,,13.6,%,,15.9,%
Accident,,2.7,%,,1.6,%,,2.7,%,,2.5,%,,3,%,,1.9,%,,3.1,%,,2.4,%,,2.4,%,,1.8,%,,2,%,,2.5,%
Homicide/d,,1.9,%,,1.7,%,,2.4,%,,2.2,%,,2.4,%,,2.3,%,,2.8,%,,2.4,%,,2.7,%,,2.9,%,,2.6,%,,2.4,%
Other/unknown,,1.9,%,,0.8,%,,2.6,%,,1.4,%,,2.4,%,,2.6,%,,1.8,%,,2.3,%,,3.1,%,,2.1,%,,2.3,%,,2.1,%
Missing,,0.3,%,,21.2,%,,2.9,%,,2.8,%,,1.1,%,,0.9,%,,2.6,%,,1.3,%,,2.2,%,,1.7,%,,3.4,%,,1.3,%
Note: Data may have been revised from previously published statistics. Details may not sum to totals due to rounding. See Methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/In 2008, a high number of illness cases were missing cause-of-death information and were classified as missing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other non-leading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes homicides committed by other inmates, incidental to the use of force by staff, or resulting from assaults sustained prior to incarceration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000 and 2008–2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
