Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0018stt03.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Mortality rate per 100,000 local jail inmates, by cause of death, 2000 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Mortality rate per 100,000 local jail inmates, by cause of death, 2000 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cause of death,,2000,,,2008/a,,,2009,,2010,,2011,,2012,,,2013,,2014,,2015,,2016,,2017,,2018,
,All causes,151,,,123,,,128,,125,,123,,129,,,138,,144,,154,,149,,151,,154,
Illness,,86,,,57,,,66,,65,,59,,71,,,68,,69,,73,,75,,72,,71,
,Heart disease,33,,,23,,,28,,33,,33,,36,,,36,,33,,36,,42,,39,,40,
,AIDS-related/b,10,,,4,,,4,,4,,2,,3,,,3,,2,,1,,2,,2,,1, !
,Cancer,5,,,3,,,6,,5,,4,,6,,,6,,5,,6,,7,,6,,5,
,Respiratory disease,5,,,4,,,4,,2,,3,,4,,,4,,6,,5,,4,,5,,5,
,Liver disease,4,,,4,,,4,,3,,2,,4,,,3,,4,,3,,3,,2,,1, !
,All other illnesses/c,29,,,18,,,20,,18,,16,,18,,,16,,19,,22,,19,,19,,19,
Suicide,,48,,,29,,,41,,42,,43,,40,,,46,,50,,52,,46,,43,,46,
Drug/alcohol intoxication,,6,,,6,,,9,,7,,10,,8,,,10,,13,,13,,16,,21,,24,
Accident,,4,,,2,,,3,,3,,4,,2,,,4,,3,,4,,3,,3,,4,
Homicide/d,,3,,,2,,,3,,3,,3,,3,,,4,,3,,4,,4,,4,,4,
Other/unknown,,3,,,1, !,,3,,2,,3,,3,,,3,,3,,5,,3,,3,,3,
Missing,,1, !,,26,,,4,,4,,1,,1, !,,4,,2,,3,,3,,5,,2,
"Note: Data may have been revised from previously published statistics. Mortality rates are per 100,000 inmates held in the custody of local jails. Mortality rates are based on the annual number of deaths and the average daily population (ADP). In 2000, the ADP was estimated by taking the average of January 1 and December 31 inmate population counts. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 29.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/In 2008, a high number of illness cases were missing cause-of-death information and were classified as missing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other non-leading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes homicides committed by other inmates, incidental to the use of force by staff, or resulting from assaults sustained prior to incarceration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000 and 2008–2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
