Bureau of Justice Statistics,,,,,
Filename: mlj0018stt04.csv,,,,,
"Table 4. Crude and adjusted mortality rate per 100,000 U.S. residents, by cause of death, 2018",,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2011–2018, Mortality in Correctional Institutions, 2018, National Inmate Survey, 2007–2009 and 2011–2012, Survey of Inmates in Local Jails, 2002; and Centers for Disease Control and Prevention, National Center for Health Statistics, CDC WONDER online database, Underlying Cause of Death 2018 (released in 2020)",,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,
Date of version: 4/29/2021,,,,,
,,,,,
"Table 4. Crude and adjusted mortality rate per 100,000 U.S. residents, by cause of death, 2018",,,,,
Cause of death,,"Crude rate per 100,000 adult U.S. residents","Adjusted rate per 100,000 adult U.S. residents/a","Rate per 100,000 local jail inmates/b",
,All causes,"1,110",322,146,
Illness,,"1,040",250,69,
,Heart disease,265,69,39,
,AIDS-related/c,2,4,1, !
,Cancer,242,59,4,
,Respiratory disease,114,20,5,
,Liver disease,23,11,1, !
,All other illnesses/d,395,89,19,
Suicide,,19,22,45,
Drug/alcohol intoxication,,27,38,24,
Accident/e,,22,9,4,
Homicide/f,,2,4,4,
"Note: Rates exclude persons age 17 or younger. U.S. general population mortality rate is per 100,000 adult U.S. residents and is based on death certificates from all U.S. residents in 2018, including incarcerated persons. The jail mortality rate is per 100,000 inmates held in the custody of local jails and is based on the annual number of deaths and average daily population.",,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 29.",,,,,
"a/The sex, race or ethnicity, and age composition of the U.S. resident population differs from that of local jail inmates. To allow for direct comparisons of mortality rates, BJS adjusted the U.S. resident population to resemble the sex, race or ethnicity, and age distribution of the local jail population.",,,,,
"b/May differ from mortality rates presented elsewhere in this report due to the removal of local jail inmates who are age 17 or younger from both the numerator (deaths) and denominator (local jail population), and the exclusion of deaths for which cause of death was unknown or missing. These changes were made solely to table 4 to make the mortality rates comparable to those in the U.S. resident population.",,,,,
c/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,
"d/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other non-leading natural causes of death) and unspecified illnesses.",,,,,
"e/BJS excluded causes of death that are unlikely to occur in a jail setting, including motor vehicle accidents; homicides due to explosives or firearms not related to law enforcement, motor vehicle assault, or neglect; and firearm discharges not related to law enforcement.",,,,,
"f/Includes homicides committed by other inmates, incidental to the use of force by staff, or resulting from assaults sustained prior to incarceration.",,,,,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2011–2018, Mortality in Correctional Institutions, 2018, National Inmate Survey, 2007–2009 and 2011–2012, Survey of Inmates in Local Jails, 2002; and Centers for Disease Control and Prevention, National Center for Health Statistics, CDC WONDER online database, Underlying Cause of Death 2018 (released in 2020).",,,,,
