Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0018stt07.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7. Mortality rate per 100,000 local jail inmates within each demographic group, by decedent characteristics, 2000 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2000 and 2008–2018; Mortality in Correctional Institutions, 2000 and 2008–2018; National Inmate Survey, 2007–2009 and 2011–2012; and Survey of Inmates in Local Jails, 2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7. Mortality rate per 100,000 local jail inmates within each demographic group, by decedent characteristics, 2000 and 2008–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,2000,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018
,Total,151,,,123,,,128,,,125,,,123,,,129,,,138,,,144,,,154,,,149,,,151,,,154
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,153,,,124,,,130,,,126,,,124,,,130,,,140,,,144,,,154,,,150,,,151,,,152
,Female,132,,,120,,,119,,,124,,,121,,,123,,,128,,,146,,,149,,,143,,,149,,,162
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White/a,210,,,185,,,202,,,203,,,212,,,221,,,213,,,239,,,251,,,240,,,236,,,242
,Black/a,127,,,109,,,101,,,102,,,94,,,108,,,131,,,118,,,114,,,119,,,123,,,130
,Hispanic,107,,,70,,,71,,,58,,,67,,,60,,,91,,,75,,,95,,,87,,,85,,,96
,"Other/a,b",52,,,41,,,55,,,36,,,28,,,33,,,23,,,39,,,33,,,44,,,34,,,33
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,109, !,,39, !,,43, !,,41, !,,35, !,,37, !,,67, !,,49, !,,57, !,,53, !,,85, !,,0
,18–24,53,,,41,,,43,,,41,,,43,,,43,,,41,,,47,,,44,,,43,,,44,,,36
,25–34,96,,,67,,,72,,,77,,,84,,,73,,,87,,,91,,,102,,,97,,,102,,,94
,35–44,169,,,138,,,142,,,127,,,129,,,128,,,144,,,152,,,155,,,146,,,155,,,185
,45–54,397,,,260,,,257,,,252,,,226,,,259,,,256,,,254,,,266,,,256,,,235,,,222
,55 or older,871,,,668,,,705,,,616,,,597,,,678,,,685,,,771,,,837,,,868,,,857,,,998
Legal status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Convicted/c,98,,,70,,,87,,,81,,,78,,,87,,,84,,,95,,,100,,,102,,,103,,,115
,Unconvicted/d,187,,,154,,,149,,,148,,,152,,,155,,,168,,,172,,,183,,,171,,,172,,,172
Offense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Violent,233,,,171,,,211,,,210,,,216,,,209,,,216,,,235,,,235,,,228,,,251,,,247
,Property,115,,,100,,,102,,,96,,,86,,,99,,,109,,,110,,,126,,,116,,,117,,,116
,Drug,99,,,85,,,69,,,68,,,65,,,87,,,79,,,94,,,106,,,99,,,86,,,105
,Public order/other/e,136,,,108,,,111,,,105,,,112,,,109,,,122,,,128,,,129,,,129,,,126,,,137
"Note: Data may have been revised from previously published statistics. Mortality rates are per 100,000 inmates held in the custody of local jails. Mortality rate are based on the annual number of deaths and the average daily population (ADP). In 2000, the ADP was estimated by taking the average of January 1 and December 31 one-day inmate population counts. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 29.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, Other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races. Due to the small number of deaths and local jail populations of American Indians and Alaska Natives and Asians, Native Hawaiians, and Other Pacific Islanders, mortality rates for these populations are unstable and not shown. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes inmates who returned on a probation or parole violation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes inmates whose status was marked as other or was unspecified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e/Public order offenses include weapons offenses, DUI/DWI, court offenses, commercialized vice, and morals and decency offenses. Other offenses include holds and holds for other jurisdictions and probation and parole violations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2000 and 2008–2018; Mortality in Correctional Institutions, 2000 and 2008–2018; National Inmate Survey, 2007–2009 and 2011–2012; and Survey of Inmates in Local Jails, 2002.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
