Bureau of Justice Statistics,,,,,,
Filename: mlj0018stt08.csv,,,,,,
"Table 8. Number of deaths of local jail inmates and mortality rate per 100,000 local jail inmates, by cause of death, 2000–2018",,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2018",,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of version: 4/29/2021,,,,,,
,,,,,,
"Table 8. Number of deaths of local jail inmates and mortality rate per 100,000 local jail inmates, by cause of death, 2000–2018",,,,,,
Cause of death,,Number,Percent,,,"Mortality rate per 100,000 local jail inmates"
,All causes,"19,180",100,%,,140
Illness,,"9,701",50.6,%,,71
,Heart disease,"4,544",23.7,,,33
,AIDS-related/a,613,3.2,,,4
,Cancer,698,3.6,,,5
,Respiratory disease,553,2.9,,,4
,Liver disease,461,2.4,,,3
,All other illnesses/b,"2,832",14.8,,,21
Suicide,,"5,853",30.5,%,,43
Drug/alcohol intoxication,,"1,554",8.1,%,,11
Accident,,490,2.6,%,,4
Homicide/c,,444,2.3,%,,3
Other/unknown,,650,3.4,%,,5
Missing,,488,2.5,%,,4
"Note: Data may have been revised from previously statistics. Details may not sum to totals due to rounding. Mortality rates are per 100,000 inmates held in the custody of local jails. Mortality rates are based on the annual number of deaths and the average daily population (ADP). In 2000, the ADP was estimated by taking the average of January 1 and December 31 one-day inmate population counts. See Methodology.",,,,,,
a/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,
"b/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other non-leading natural causes of death) and unspecified illnesses.",,,,,,
"c/Includes homicides committed by other inmates, incidental to the use of force by staff, or resulting from assaults sustained prior to incarceration.",,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2018.",,,,,,
