Bureau of Justice Statistics,,,,,,,,,,,,
Filename: mlj0018stt09.csv,,,,,,,,,,,,
"Table 9. Number of deaths of local jail inmates, by cause of death and decedent characteristics, 2000–2018",,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2018",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 9. Number of deaths of local jail inmates, by cause of death and decedent characteristics, 2000–2018",,,,,,,,,,,,
,,,Illness,,,,,,,,,
Characteristic,,All causes/a,Heart disease,AIDS-related/b,Cancer,Respiratory disease,Liver disease,All other illnesses/c ,Suicide,Drug/alcohol intoxication,Accident,Homicide/d
,Total,"19,180","4,544",613,698,553,461,"2,832","5,853","1,554",490,444
Sex,,,,,,,,,,,,
,Male,"16,739","4,034",540,634,452,416,"2,300","5,311","1,214",441,438
,Female,"2,434",510,73,64,101,45,531,541,340,49,6
Race/ethnicity,,,,,,,,,,,,
,White/e,"10,550","2,202",109,319,262,249,"1,293","4,172",974,291,170
,Black/e,"5,680","1,843",422,279,212,99,"1,071",776,332,126,179
,Hispanic,"2,298",395,79,83,67,103,393,692,208,59,82
,American Indian/Alaska Native/e,242,46,1,5,7,6,26,112,23,4,3
,Asian/Native Hawaiian/Other Pacific Islander/two or more races/e,216,43,2,10,2,3,35,84,11,9,8
Age,,,,,,,,,,,,
,17 or younger,73,2,1,0,1,0,5,53,5,1,2
,18–24,"1,702",123,13,12,25,3,145,978,177,51,82
,25–34,"3,924",454,104,45,75,26,429,"1,835",524,104,113
,35–44,"4,836",967,236,94,132,85,697,"1,661",464,134,91
,45–54,"4,954","1,522",199,223,155,227,901,960,294,122,89
,55 or older,"3,528","1,470",57,324,163,119,651,357,87,77,66
Legal status,,,,,,,,,,,,
,Convicted/f,"4,663","1,356",160,211,165,133,751,"1,046",363,141,103
,Unconvicted/g,"14,293","3,165",448,485,383,328,"2,069","4,784","1,184",348,334
Offense,,,,,,,,,,,,
,Violent,"6,734","1,402",156,333,171,127,809,"2,807",277,133,197
,Property,"3,720",850,193,112,110,85,610,"1,092",295,89,83
,Drug,"3,020",760,137,101,112,77,543,593,427,75,51
,Public order/other/h,"4,814","1,330",112,133,133,158,735,"1,155",501,172,95
Note: Data may have been revised from previously published statistics. Details may not sum to totals due to missing data. See Methodology.,,,,,,,,,,,,
a/Includes other causes not specified and missing and unknown causes.,,,,,,,,,,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,
"c/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other non-leading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,
"d/Includes homicides committed by other inmates, incidental to the use of force by staff, and resulting from assaults sustained prior to incarceration.",,,,,,,,,,,,
"e/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,
f/Includes inmates who returned on a probation or parole violation.,,,,,,,,,,,,
g/Includes inmates whose status was marked as other or was unspecified.,,,,,,,,,,,,
"h/Public order offenses include weapons offenses, DUI/DWI, court offenses, commercialized vice, and morals and decency offenses. Other offenses include holds and holds for jurisdiction and probation and parole violations.",,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2018.",,,,,,,,,,,,
