Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0018stt10.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 10. Average annual mortality rate per 100,000 local jail inmates, by cause of death and decedent characteristics, 2000–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–2018; Mortality in Correctional Institutions, 2000–2018; National Inmate Survey, 2007–2009 and 2011–2012; and Survey of Inmates in Local Jails, 2002",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 10. Average annual mortality rate per 100,000 local jail inmates, by cause of death and decedent characteristics, 2000–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Illness,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,All causes/a,Heart disease,,,AIDS-related/b,,,Cancer,Respiratory disease,,,Liver disease,,,All other illnesses/c,,,Suicide,Drug/alcohol intoxication,,,Accident,,,Homicide/d,
,Total,140,33,,,5,,,5,4,,,3,,,21,,,43,11,,,4,,,3,
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,141,34,,,5,,,5,4,,,4,,,19,,,45,10,,,4,,,4,
,Female,136,29,,,4,,,4,6,,,3,,,30,,,30,19,,,3,,,<1, !
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White/e,216,45,,,2,,,7,5,,,5,,,27,,,86,20,,,6,,,4,
,Black/e,118,38,,,9,,,6,4,,,2,,,22,,,16,7,,,3,,,4,
,Hispanic,84,14,,,3,,,3,2,,,4,,,14,,,25,8,,,2,,,3,
,"Other/e,f",38,7,,,<1, !,,1,<1, !,,<1, !,,5,,,16,3,,,1,,,<1,
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,65,2, !,,<1, !,,0,<1, !,,0,,,5, !,,47,5, !,,<1, !,,2, !
,18–24,47,3,,,<1,,,<1,<1,,,<1, !,,4,,,27,5,,,1,,,2,
,25–34,87,10,,,2,,,1,2,,,<1,,,10,,,41,12,,,2,,,3,
,35–44,155,31,,,8,,,3,4,,,3,,,22,,,53,15,,,4,,,3,
,45–54,279,86,,,11,,,13,9,,,13,,,51,,,54,17,,,7,,,5,
,55 or older,756,315,,,12,,,69,35,,,26,,,139,,,77,19,,,17,,,14,
Legal status,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Convicted/g,89,26,,,3,,,4,3,,,3,,,14,,,20,7,,,3,,,2,
,Unconvicted/h,169,38,,,5,,,6,5,,,4,,,25,,,57,14,,,4,,,4,
Offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Violent,212,44,,,5,,,11,5,,,4,,,26,,,88,9,,,4,,,6,
,Property,111,25,,,6,,,3,3,,,3,,,18,,,33,9,,,3,,,3,
,Drug,91,23,,,4,,,3,3,,,2,,,16,,,18,13,,,2,,,2,
,Public order/other/i,126,35,,,3,,,4,4,,,4,,,19,,,30,13,,,5,,,3,
"Note: Data may have been revised from previously published statistics. Mortality rates are per 100,000 inmates held in the custody of local jails. Mortality rates are based on the annual number of deaths and the average daily population (ADP). In 2000, ADP was estimated by taking the average of January 1 and December 31 one-day inmate population counts. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 29.",,,,,,,,,,,,,,,,,,,,,,,,,,,
a/Includes other causes not specified and missing and unknown causes.,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other non-leading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes homicides committed by other inmates, incidental to the use of force by staff, or resulting from assaults sustained prior to incarceration.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"e/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,,,,,,
"f/Includes Asians, Native Hawaiians, Other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races. Due to the small number of deaths and local jail populations of American Indians and Alaska Natives and Asians/Native Hawaiians/Other Pacific Islanders, mortality rates for these populations are unstable and not shown.",,,,,,,,,,,,,,,,,,,,,,,,,,,
g/Includes inmates who returned on a probation or parole violation.,,,,,,,,,,,,,,,,,,,,,,,,,,,
h/Includes inmates whose status was marked as other or was unspecified.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i/Public order offenses include weapons offenses, DUI/DWI, court offenses, commercialized vice, and morals and decency offenses. Other offenses include holds and holds for jurisdiction and probation and parole violations.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–2018; Mortality in Correctional Institutions, 2000–2018; National Inmate Survey, 2007–2009 and 2011–2012; and Survey of Inmates in Local Jails, 2002.",,,,,,,,,,,,,,,,,,,,,,,,,,,
