Bureau of Justice Statistics,,,
Filename: mlj0018stt11.csv,,,
"Table 11. Cause of death of local jail inmates, by time served before death, 2000–2018",,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2018",,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of version: 4/29/2021,,,
,,,
"Table 11. Cause of death of local jail inmates, by time served before death, 2000–2018",,,
Cause of death,,Number,Median time served (in days)/a
,Total,"19,180",17
Illness,,"9,701",33
,Heart disease,"4,544",25
,AIDS-related/b,613,82
,Cancer,698,137
,Respiratory disease,553,40
,Liver disease,461,47
,All other illnesses/c,"2,832",22
Suicide,,"5,853",9
Drug/alcohol intoxication,,"1,554",1
Accident,,490,10
Homicide/d,,444,29
Note: Details may not sum to totals due to missing data. See Methodology.,,,
a/The statistical median represents the value at which 50% of the values are larger and 50% are smaller in a sequence of numbers.,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,
"c/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other non-leading natural causes of death) and unspecified illnesses.",,,
"d/Includes homicides committed by other inmates, incidental to the use of force by staff, or resulting from assaults sustained prior to incarceration.",,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2018.",,,
