Bureau of Justice Statistics,,,,,,
Filename: mlj0018stt12.csv,,,,,,
"Table 12. Offenses of decedents, by time served before death, 2000–2018",,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2018",,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of version: 4/29/2021,,,,,,
,,,,,,
"Table 12. Offenses of decedents, by time served before death, 2000–2018",,,,,,
Offense,,Number,Percent,,,Median time served (in days)/a
,Total,"19,180",100,%,,17
Violent,,"6,734",36.8,%,,40
,Murder/b,"1,296",7.1,,,134
,Kidnapping,348,1.9,,,44
,Rape/sexual assault,"1,242",6.8,,,77
,Robbery,716,3.9,,,51
,Assault,"2,648",14.5,,,16
,Other,484,2.6,,,13
Property,,"3,720",20.3,%,,16
,Burglary,954,5.2,,,32
,Larceny/theft,"1,909",10.4,,,11
,Motor vehicle theft,173,0.9,,,13
,Arson,98,0.5,,,42
,Fraud,586,3.2,,,16
Drug,,"3,020",16.5,%,,13
,Possession,"1,517",8.3,,,8
,Trafficking,"1,089",6,,,33
,Other/unknown,414,2.3,,,7
Public order/other,,"4,814",26.3,%,,8
,Weapons offense,221,1.2,,,13
,Obstruction of justice,912,5,,,7
,DUI/DWI,722,3.9,,,6
,Traffic offense excluding DUI/DWI,501,2.7,,,4
,Probation/parole violation and escape,"1,472",8,,,12
,Other,986,5.4,,,4
Note: Details may not sum to totals due to rounding or missing data. See Methodology.,,,,,,
a/The statistical median represents the value at which 50% of the values are larger and 50% are smaller in a sequence of numbers.,,,,,,
b/Includes non-negligent manslaughter.,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2018.",,,,,,
