Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: mlj0018stt13.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 13. Death location of local jail inmates, by cause of death, 2000–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 13. Death location of local jail inmates, by cause of death, 2000–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,All,,,Heart disease,,,AIDS-related/a,,,Cancer,,,Respiratory disease,,,Liver disease,,,All other illnesses/b,,,Suicide,,,Drug/alcohol intoxication,,,Accident,,,Homicide/c,
,Total,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%,,100,%
General housing,,30.6,,,28.8,,,4.4,,,3,,,15,,,9.4,,,20.1,,,46.3,,,36,,,17.2,,,32,
Segregation unit,,10.7,,,6.3,,,2,,,2.1,,,4,,,3.7,,,6.7,,,20.6,,,9.8,,,5.3,,,4.8,
Medical unit/d,,49.6,,,56,,,89.7,,,89,,,73,,,80,,,65.3,,,25.5,,,40.3,,,53.4,,,49.7,
Mental health unit/e,,1.6,,,1.5,,,0.5,,,1.6,,,1.6,,,0.9,,,2,,,1.7,,,0.9,,,2.7,,,4.1,
In transit,,1.1,,,1.6,,,0.5,,,0.3,,,1.1,,,0.2,,,1.3,,,0.5,,,1.3,,,3.7,,,1.4,
Elsewhere,,6.4,,,5.7,,,3,,,4,,,5.3,,,5.9,,,4.6,,,5.5,,,11.7,,,17.8,,,8,
Note: Percentages are based on non-missing data. Details may not sum to totals due to rounding. See Methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other non-leading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/Includes homicides committed by other inmates, incidental to the use of force by staff, or resulting from assaults sustained prior to incarceration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes the special medical unit within the jail facility and outside medical centers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e/Includes the special mental health services unit within the jail facility and outside mental health centers. Mental health unit classification was not collected prior to 2009.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
