Bureau of Justice Statistics,,,,
Filename: mlj0018stt14.csv,,,,
"Table 14. Number of deaths and mortality rate per 100,000 local jail inmates, by hold status, 2014–2018",,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2014–2018",,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 4/29/2021,,,,
,,,,
"Table 14. Number of deaths and mortality rate per 100,000 local jail inmates, by hold status, 2014–2018",,,,
Hold status,,"Number of deaths, 2014–18","Sum of annual average daily populations, 2014–18","Mortality rate per 100,000 local jail inmates, by hold status, 2014–18"
,Total,"5,436","3,614,768",150
Hold status/a,,582,"636,534",91
,U.S. Immigration and Customs Enforcement,33,"77,261",43
,U.S. Marshals Service,125,"138,459",90
,Other/b,431,"420,814",102
No hold or unknown,,"4,854","2,978,234",163
"Note: Average daily population was calculated for U.S. Immigration and Customs Enforcement, the U.S. Marshals Service, and other authorities based on the proportion of the confined population held for each authority on December 31.",,,,
"a/Includes contractual, temporary, courtesy, or ad hoc holds for federal, local, or state authorities. A jail inmate may have multiple hold statuses.",,,,
"b/Includes state or federal prison, the Bureau of Indian Affairs, or any other jail jurisdiction.",,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2014–2018.",,,,
