Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: mlj0018stt18.csv,,,,,,,,,,,,,
"Table 18. Number of local jail inmates held on an average day, by state, 2000 and 2008–2018",,,,,,,,,,,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000 and 2008–2018",,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 18. Number of local jail inmates held on an average day, by state, 2000 and 2008–2018",,,,,,,,,,,,,
State,,2000,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Total,"597,908","778,716","747,932","732,013","720,879","745,238","712,678","729,141","711,625","717,456","728,968","727,578"
Alabama,,"12,951","16,156","13,868","15,054","15,333","14,944","13,333","13,502","13,393","14,074","15,150","16,162"
Alaska*,,60,52,70,64,73,104,82,85,76,72,72,57
Arizona,,"10,859","17,844","15,043","13,242","13,467","14,542","14,355","13,961","13,764","13,154","13,237","12,991"
Arkansas,,"5,271","7,373","7,453","7,420","7,189","7,447","6,750","7,824","8,098","8,183","8,802","9,034"
California,,"72,508","83,493","81,629","74,808","71,759","79,491","81,696","82,116","75,180","76,131","76,650","75,570"
Colorado,,"9,179","13,111","13,207","12,703","11,779","12,396","12,323","11,947","12,121","12,910","12,574","13,393"
District of Columbia,,"1,656","2,987","3,089","3,037","3,011","2,455","2,288","1,969","1,814","1,858","1,836","2,047"
Florida,,"49,358","66,250","61,070","58,313","57,330","56,412","52,710","53,401","53,739","52,544","54,681","55,958"
Georgia,,"33,332","47,343","46,125","46,811","44,034","44,322","36,633","40,974","38,140","40,376","41,997","39,650"
Idaho,,"2,668","3,938","3,750","3,529","3,718","3,728","3,535","3,744","3,722","3,803","4,154","4,288"
Illinois,,"17,452","20,966","19,601","20,224","20,666","21,376","22,173","19,954","18,791","18,456","17,272","16,115"
Indiana,,"12,760","17,811","18,302","17,703","17,342","17,533","16,146","16,765","16,306","18,278","19,439","20,641"
Iowa,,"3,046","4,085","3,891","3,993","4,099","4,264","4,051","4,243","4,477","4,427","4,899","4,871"
Kansas,,"5,093","7,668","6,992","7,692","7,236","6,961","7,100","7,453","7,279","7,544","7,579","8,095"
Kentucky,,"11,492","18,070","17,803","17,460","18,252","19,537","17,995","20,602","20,776","22,735","23,789","24,877"
Louisiana,,"22,744","29,060","29,572","32,199","31,022","32,651","27,151","29,667","29,181","29,192","29,177","29,781"
Maine,,"1,297","1,598","1,571","1,062","1,322","1,299","1,073","1,371","1,343","1,352","1,278","1,685"
Maryland,,"10,471","13,577","12,205","12,398","12,423","12,233","12,063","11,164","9,804","8,879","9,587","8,992"
Massachusetts,,"9,427","13,309","13,184","10,724","10,326","9,616","10,471","10,238","10,543","10,775","10,454","9,060"
Michigan,,"15,869","17,676","17,001","16,457","16,541","17,089","17,203","16,898","15,480","16,476","16,496","16,519"
Minnesota,,"4,958","7,105","6,651","6,733","6,468","6,423","6,524","6,827","7,188","7,145","7,293","7,135"
Mississippi,,"9,885","11,057","9,732","10,501","10,601","12,620","11,575","12,669","14,239","14,368","12,923","12,975"
Missouri,,"7,588","11,653","11,503","10,646","11,500","12,375","11,757","11,259","11,431","11,754","13,013","12,886"
Montana,,"1,291","1,781","1,718","1,950","1,032","1,968","2,795","2,317","2,473","2,511","2,580","2,516"
Nebraska,,"2,140","3,135","3,427","3,391","3,406","3,442","3,530","3,459","3,560","3,669","3,900","4,001"
Nevada,,"5,216","7,531","7,737","7,410","7,083","6,922","6,902","7,070","6,841","7,004","7,189","7,738"
New Hampshire,,887,"2,024","2,108","2,103","2,063","2,143","2,012","2,200","1,830","1,868","1,799","1,539"
New Jersey,,"15,102","17,824","16,426","15,955","15,280","16,193","16,398","14,997","14,333","13,601","10,655","9,628"
New Mexico,,"5,918","9,089","8,273","8,886","8,297","8,408","8,474","8,256","8,370","7,338","6,713","6,162"
New York,,"27,403","30,304","29,877","30,122","29,793","28,259","26,959","25,946","25,540","22,345","20,800","21,637"
North Carolina,,"12,276","19,382","16,470","18,601","18,288","19,168","18,825","18,964","18,107","18,818","19,920","20,342"
North Dakota,,619,962,897,947,"1,111","1,190","1,088","1,418","1,449","1,382","1,697","1,445"
Ohio,,"16,118","19,254","19,944","17,454","17,788","18,704","18,384","19,110","18,612","17,576","20,385","20,892"
Oklahoma,,"7,228","10,062","10,493","8,632","8,654","9,544","9,447","12,484","12,455","12,593","10,207","9,579"
Oregon,,"6,685","6,304","5,803","5,890","5,872","7,844","5,678","5,985","5,887","5,887","7,846","5,758"
Pennsylvania,,"28,248","37,350","38,010","35,444","36,290","37,519","37,334","37,765","36,278","35,086","34,767","32,760"
South Carolina,,"8,752","13,634","12,654","12,236","11,970","12,232","11,592","11,569","11,256","10,086","11,706","11,794"
South Dakota,,"1,163","1,417","1,626","1,572","1,505","1,746","1,845","1,732","1,768","1,880","2,033","2,147"
Tennessee,,"20,168","26,446","25,708","22,875","23,521","24,292","24,882","24,553","26,989","28,239","29,110","29,920"
Texas,,"57,999","69,392","67,513","67,297","66,599","67,815","63,724","64,614","64,835","67,156","66,506","68,445"
Utah,,"5,378","6,929","6,928","7,267","7,194","7,288","6,446","7,441","7,110","7,137","7,695","7,460"
Virginia,,"20,021","28,824","28,276","29,003","27,313","30,013","27,783","29,984","26,782","27,910","28,965","28,294"
Washington,,"8,638","13,461","13,076","12,350","12,988","12,008","10,920","12,264","11,832","12,034","12,654","12,253"
West Virginia,,"2,824","4,336","3,879","4,145","3,882","4,351","4,466","4,292","4,290","4,356","4,690","5,251"
Wisconsin,,"12,986","15,401","12,157","14,143","13,965","12,835","12,625","12,501","12,621","12,932","13,464","13,795"
Wyoming,,924,"1,694","1,620","1,567","1,494","1,536","1,582","1,587","1,522","1,562","1,335","1,440"
"Note: Data may have been revised from previously published statistics. Connecticut, Delaware, Hawaii, Rhode Island, and Vermont each operate a combined prison/jail system. For inmate population data, see Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables (NCJ 255970, BJS, April 2021). See Methodology.",,,,,,,,,,,,,
*Prisons and jails form one integrated system. Counts include only data for 15 locally operated jails and exclude data for state-operated prisons and jails.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000 and 2008–2018.",,,,,,,,,,,,,
