Bureau of Justice Statistics,,,,
Filename: mlj0018stt23.csv,,,,
"Table 23. Preliminary number and percent of deaths in local jails, by selected causes of death, 2019",,,,
"Report title: Mortality in Local Jails, 2000-2018 - Statistical Tables  NCJ 256002",,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2019",,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 4/29/2021,,,,
,,,,
"Table 23. Preliminary number and percent of deaths in local jails, by selected causes of death, 2019",,,,
Cause of death,,Number,Percent,
,All causes,"1,088",100,%
Illness/a,,440,40.4,
AIDS-related/b,,8,0.7,
Suicide,,318,29.2,
Drug/alcohol intoxication,,153,14.1,
Accident,,21,1.9,
Homicide/c,,15,1.4,
Other/unknown,,66,6.1,
Missing,,67,6.2,
"Note: Counts and percentages are preliminary and based on data submitted to the Mortality in Correctional Institutions as of July 10, 2020. Detailed 2019 death data will be published in 2021, and estimates are likely to change. See Methodology.",,,,
a/Excludes AIDS-related deaths.,,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,
"c/Includes homicides committed by other inmates, incidental to the use of force by staff, or resulting from assaults sustained prior to incarceration.",,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2019.",,,,
