Bureau of Justice Statistics,,,,,,,,,,,
Filename: msfp0118stat02.csv,,,,,,,,,,,
"Appendix table 2. Deaths of federal prisoners in federally and privately operated prison facilities, by cause of death, 2015–2018",,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015–2018; and Federal Bureau of Prisons, 2015–2018",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,
,,,,,,,,,,,
"Appendix Table 2. Deaths of federal prisoners in federally and privately operated prison facilities, by cause of death, 2015–2018",,,,,,,,,,,
,,2015,,,2016,,,2017,,,2018
Number of deaths,,464,,,395,,,388,,,383
,Illness/a,407,,,343,,,323,,,292
,AIDS-related/b,1,,,1,,,6,,,0
,Suicide,21,,,19,,,24,,,29
,Accident/c,16,,,14,,,8,,,14
,Homicide/d,16,,,15,,,10,,,12
,Other/unknown,3,,,3,,,17,,,36
"Mortality rate per 100,000 federal prisoners",,237,,,210,,,213,,,214
,Illness/a,209,,,183,,,181,,,163
,AIDS-related/b,1,!,,1,!,,3,!,,0
,Suicide,11,,,10,,,13,,,16
,Accident/c,8,,,7,,,4,!,,8
,Homicide/d,8,,,8,,,5,,,7
,Other/unknown,2,!,,2,!,,9,,,20
"Note: Includes deaths in federal prison facilities operated by the Federal Bureau of Prisons (BOP) or operated privately under a BOP contract. Until 2015, federal deaths were submitted as an aggregate count by the BOP, with limited details regarding cause of death, and excluded deaths in private federal facilities. Excludes executions. For execution data, see Capital Punishment, 2017: Selected Findings (NCJ 253060, BJS, July 2019). See Methodology. Mortality rates are based on the annual number of deaths and a 1-day BOP custody population on December 31. ",,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 24.",,,,,,,,,,,
a/Excludes AIDS-related deaths.,,,,,,,,,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,
c/Includes deaths due to drug or alcohol intoxication.,,,,,,,,,,,
"d/Includes homicides committed by other prisoners, incidental to the use of force by staff, or resulting from injuries sustained prior to incarceration. ",,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2015–2018; and Federal Bureau of Prisons, 2015–2018.",,,,,,,,,,,
