Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: msfp0118stat03.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 3. Illness mortality rate per 100,000 state prisoners within each demographic group, by decedent characteristics, 2006–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2006–2018; National Prisoner Statistics, 2006–2018; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix Table 3. Illness mortality rate per 100,000 state prisoners within each demographic group, by decedent characteristics, 2006–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,
,Total,225,,,228,,,226,,,226,,,227,,,236,,,238,,,247,,,253,,,262,,,267,
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,231,,,235,,,232,,,233,,,235,,,243,,,246,,,255,,,261,,,272,,,276,
,Female,136,,,144,,,137,,,132,,,122,,,132,,,133,,,143,,,142,,,138,,,145,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White/a,337,,,353,,,356,,,372,,,381,,,403,,,404,,,425,,,439,,,460,,,466,
,Black/a,213,,,218,,,216,,,215,,,213,,,217,,,225,,,236,,,248,,,259,,,266,
,Hispanic,122,,,119,,,115,,,107,,,110,,,116,,,120,,,120,,,115,,,119,,,126,
,"Other/a,b",49,,,46,,,42,,,35,,,36,,,36,,,39,,,39,,,38,,,35,,,32,
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,27,!,,13,!,,41,!,,47,!,,56,!,,23,!,,29,!,,33,!,,73,!,,79,!,,89,!
,18–24,14,,,15,,,15,,,14,,,14,,,15,,,15,,,16,,,14,,,13,,,10,
,25–34,29,,,26,,,25,,,25,,,24,,,24,,,23,,,24,,,24,,,27,,,27,
,35–44,110,,,106,,,98,,,94,,,85,,,81,,,75,,,71,,,70,,,69,,,68,
,45–54,416,,,397,,,382,,,364,,,346,,,338,,,324,,,315,,,298,,,281,,,271,
,55 or older,"1,777",,,"1,765",,,"1,658",,,"1,598",,,"1,558",,,"1,567",,,"1,538",,,"1,544",,,"1,530",,,"1,540",,,"1,517",
"Note: Based on 3-year rolling averages. Labels show the most recent year only (for example, 2006–2008 is shown as 2008). Includes deaths in private state facilities. Mortality rates are per 100,000 inmates held in the custody of state prisons. Mortality rates are based on the annual number of deaths and a 1-day custody population on December 31.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 24.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians or Other Pacific Islanders, American Indians or Alaska Natives, and persons of two or more races. Due to the small number of deaths and prison populations of American Indians and Alaska Natives, Asians, and Native Hawaiians and Other Pacific Islanders, mortality rates for these populations are unstable and not shown. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2006–2018; National Prisoner Statistics, 2006–2018; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
