Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: msfp0118stat04.csv,,,,,,,,,,,,,,,,,,,,,
"Appendix table 4. Cancer mortality rate per 100,000 state prisoners within each demographic group, by decedent characteristics, 2006–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2006–2018; National Prisoner Statistics, 2006–2018; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Appendix Table 4. Cancer mortality rate per 100,000 state prisoners within each demographic group, by decedent characteristics, 2006–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,
Characteristic,,2008,,2009,,2010,,2011,,2012,,2013,,2014,2015,2016,,2017,,2018,
,Total,63,,67,,71,,75,,77,,81,,82,86,88,,91,,93,
Sex,,,,,,,,,,,,,,,,,,,,,
,Male,65,,70,,73,,77,,79,,84,,85,88,91,,94,,96,
,Female,33,,35,,40,,48,,44,,45,,43,51,53,,49,,49,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,
,White/a,103,,114,,119,,130,,134,,145,,144,149,154,,162,,166,
,Black/a,58,,62,,66,,68,,71,,75,,79,84,89,,89,,91,
,Hispanic,24,,23,,28,,30,,31,,32,,34,36,38,,40,,41,
,"Other/a,b",15,,13,,15,,11,,12,,11,,11,11,11,,10,,9,
Age,,,,,,,,,,,,,,,,,,,,,
,17 or younger,14,!,13,!,14,!,16,!,19,!,23,!,0,0,37,!,79,!,89,!
,18–24,1,!,2,,3,,4,,4,,3,,2,2,2,!,2,!,2,!
,25–34,4,,4,,4,,5,,5,,6,,5,6,6,,6,,5,
,35–44,22,,20,,22,,21,,21,,22,,22,21,19,,17,,16,
,45–54,113,,115,,117,,118,,113,,116,,114,113,104,,99,,95,
,55 or older,577,,592,,584,,584,,573,,572,,553,550,558,,558,,554,
"Note: Based on 3-year rolling averages. Labels show the most recent year only (for example, 2006–2008 is shown as 2008). Includes deaths in private state facilities. Mortality rates are per 100,000 inmates held in the custody of state prisons. Mortality rates are based on the annual number of deaths and a 1-day custody population on December 31.",,,,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 24.",,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians or Other Pacific Islanders, American Indians or Alaska Natives, and persons of two or more races. Due to the small number of deaths and prison populations of American Indians and Alaska Natives, Asians, and Native Hawaiians and Other Pacific Islanders, mortality rates for these populations are unstable and not shown. See Methodology. ",,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2006–2018; National Prisoner Statistics, 2006–2018; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,
