Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: msfp0118stat06.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 6. Liver disease mortality rate per 100,000 state prisoners within each demographic group, by decedent characteristics, 2006–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2006–2018; National Prisoner Statistics, 2006–2018; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix Table 6. Liver disease mortality rate per 100,000 state prisoners within each demographic group, by decedent characteristics, 2006–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,
,Total,24,,,25,,,24,,,25,,,24,,,26,,,26,,,26,,,24,,,22,,,20,
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,25,,,26,,,25,,,26,,,25,,,27,,,27,,,27,,,24,,,23,,,21,
,Female,10,,,10,,,10,,,9,,,9,,,13,,,14,,,16,,,13,,,11,,,11,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White/a,37,,,40,,,42,,,44,,,44,,,47,,,46,,,46,,,45,,,41,,,38,
,Black/a,14,,,15,,,14,,,16,,,14,,,16,,,15,,,15,,,14,,,14,,,12,
,Hispanic,25,,,24,,,21,,,19,,,20,,,23,,,25,,,25,,,20,,,16,,,15,
,"Other/a,b",8,,,8,,,5,,,5,,,5,,,6,,,5,,,5,,,5,,,5,,,4,
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,0,,,0,,,14,!,,16,!,,19,!,,0,,,0,,,0,,,0,,,0,,,0,
,18–24,1,!,,1,!,,1,!,,1,!,,0,!,,0,!,,1,!,,1,!,,1,!,,1,!,,1,!
,25–34,1,,,1,,,1,,,1,,,1,,,1,!,,1,,,1,,,1,,,1,!,,1,!
,35–44,11,,,11,,,9,,,10,,,7,,,7,,,5,,,5,,,5,,,5,,,5,
,45–54,69,,,67,,,63,,,59,,,54,,,54,,,50,,,47,,,41,,,33,,,26,
,55 or older,136,,,137,,,130,,,138,,,140,,,157,,,152,,,147,,,127,,,119,,,107,
"Note: Based on 3-year rolling averages. Labels show the most recent year only (for example, 2006–2008 is shown as 2008). Includes deaths in private state facilities. Mortality rates are per 100,000 inmates held in the custody of state prisons. Mortality rates are based on the annual number of deaths and a 1-day custody population on December 31.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 24.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians or Other Pacific Islanders, American Indians or Alaska Natives, and persons of two or more races. Due to the small number of deaths and prison populations of American Indians and Alaska Natives, Asians, and Native Hawaiians and Other Pacific Islanders, mortality rates for these populations are unstable and not shown. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2006–2018; National Prisoner Statistics, 2006–2018; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
