Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: msfp0118stat07.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 7. Respiratory disease mortality rate per 100,000 state prisoners within each demographic group, by decedent characteristics, 2006–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2006–2018; National Prisoner Statistics, 2006–2018; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix Table 7. Respiratory disease mortality rate per 100,000 state prisoners within each demographic group, by decedent characteristics, 2006–2018 (3-year rolling averages)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,2014,,,2015,,,2016,,,2017,,,2018,
,Total,17,,,16,,,17,,,16,,,16,,,16,17,,,18,,,19,,,19,,,21,
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,17,,,17,,,17,,,16,,,17,,,17,18,,,18,,,19,,,20,,,21,
,Female,16,,,14,,,12,,,10,,,7,,,10,9,,,10,,,11,,,12,,,16,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White/a,28,,,28,,,28,,,29,,,31,,,32,32,,,34,,,35,,,37,,,40,
,Black/a,14,,,14,,,14,,,12,,,13,,,12,14,,,15,,,16,,,16,,,18,
,Hispanic,8,,,8,,,9,,,7,,,7,,,7,8,,,7,,,8,,,9,,,10,
,"Other/a,b",1,!,,1,!,,1,!,,1,!,,2,!,,3,3,,,3,,,3,,,2,,,2,!
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,14,!,,0,,,0,,,0,,,0,,,0,0,,,0,,,0,,,0,,,0,
,18–24,3,,,2,,,2,,,1,!,,2,!,,2,2,!,,2,!,,1,!,,1,!,,0,
,25–34,3,,,3,,,3,,,2,,,3,,,3,3,,,2,,,2,,,1,,,2,
,35–44,8,,,8,,,7,,,6,,,5,,,4,4,,,4,,,4,,,5,,,6,
,45–54,23,,,21,,,20,,,20,,,19,,,17,16,,,15,,,16,,,14,,,15,
,55 or older,143,,,139,,,136,,,121,,,127,,,119,123,,,124,,,124,,,127,,,129,
"Note: Based on 3-year rolling averages. Labels show the most recent year only (for example, 2006–2008 is shown as 2008). Includes deaths in private state facilities. Mortality rates are per 100,000 inmates held in the custody of state prisons. Mortality rates are based on the annual number of deaths and a 1-day custody population on December 31.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 24.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians or Other Pacific Islanders, American Indians or Alaska Natives, and persons of two or more races. Due to the small number of deaths and prison populations of American Indians and Alaska Natives, Asians, and Native Hawaiians and Other Pacific Islanders, mortality rates for these populations are unstable and not shown. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2006–2018; National Prisoner Statistics, 2006–2018; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
