Bureau of Justice Statistics,,,,,,,,
Filename: msfp0118stf05.csv,,,,,,,,
"Figure 5. Percent of state prisoner deaths due to illness, by type of illness, 2001, 2010, and 2018",,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,
"Data Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001, 2010, and 2018.",,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of version: 4/29/2021,,,,,,,,
,,,,,,,,
"Figure 5. Percent of state prisoner deaths due to illness, by type of illness, 2001, 2010, and 2018",,,,,,,,
Cause of death,2001,,,2010,,,2018,
Cancer,24.1,%,,28.7,%,,27.5,%
Heart disease,25.9,,,25.7,,,25.4,
Liver disease,10.8,,,8.9,,,5.2,
Respiratory disease,5,,,6.6,,,6.9,
AIDS-related/a,9.6,,,2.3,,,0.5,
All other illnesses/b,14.1,,,16.5,,,13.5,
Note: Data may have been revised from previously published statistics. Includes deaths in private state facilities. See table 3 for data.,,,,,,,,
a/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,
"b/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses.",,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001, 2010, and 2018.",,,,,,,,
