Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: msfp0118stt01.csv,,,,,,,,,,,,,,
"Table 1. Number of state and federal prisoner deaths, by cause of death, 2001 and 2008–2018",,,,,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001 and 2008–2018; and Federal Bureau of Prisons, 2001 and 2008–2018",,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 1. Number of state and federal prisoner deaths, by cause of death, 2001 and 2008–2018",,,,,,,,,,,,,,
Cause of death,,,2001,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Total,,"3,170","3,851","3,793","3,620","3,738","3,707","3,878","3,928","4,137","4,117","4,324","4,513"
Federal/a,,,301,399,376,387,387,350,400,444,455,388,381,378
State/b,,,"2,869","3,452","3,417","3,233","3,351","3,357","3,478","3,484","3,682","3,729","3,943","4,135"
,Illness,,"2,567","3,036","3,027","2,865","2,979","2,959","3,081","3,032","3,226","3,197","3,258","3,272"
,,Heart disease,743,845,850,830,854,804,897,896,986,"1,028","1,095","1,052"
,,Cancer,691,907,978,927,"1,028","1,024","1,065","1,050","1,122","1,130","1,110","1,137"
,,Liver disease,310,319,337,288,340,307,357,318,302,263,246,215
,,AIDS-related/c,275,99,98,73,57,74,52,64,45,31,37,22
,,Respiratory disease,144,250,195,212,204,220,196,233,241,220,252,287
,,All other illnesses/d,404,616,569,535,496,530,514,471,530,525,518,559
,Suicide,,168,197,202,215,185,205,192,249,219,255,259,311
,Drug/alcohol intoxication,,35,58,51,41,58,33,56,50,81,104,203,249
,Accident,,22,26,32,32,38,50,34,39,39,41,45,43
,Homicide/e,,39,40,54,70,70,85,90,83,84,96,113,120
,Other causes,,0,95,17,7,12,14,18,10,20,23,27,37
,Missing/unknown,,38,0,34,3,9,11,7,21,13,13,38,103
"Note: Data may have been revised from previously published statistics. Excludes executions. For execution data, see Capital Punishment, 2017: Selected Findings (NCJ 253060, BJS, July 2019). See Methodology.",,,,,,,,,,,,,,
"a/Excludes deaths in private federal facilities. Until 2015, federal deaths were submitted as an aggregate count by the Federal Bureau of Prisons (BOP), with limited details regarding cause of death, and excluded deaths in private federal facilities. See appendix table 2 for deaths from 2015 to 2018 in federal prison facilities operated by the BOP or operated privately under a BOP contract.",,,,,,,,,,,,,,
b/Includes deaths in private state facilities.,,,,,,,,,,,,,,
c/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,,,
"d/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,,,
"e/Includes homicides committed by other prisoners, incidental to the use of force by staff, or resulting from injuries sustained prior to incarceration.",,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001 and 2008–2018; and Federal Bureau of Prisons, 2001 and 2008–2018.",,,,,,,,,,,,,,
