Bureau of Justice Statistics,,,,,,,,,,,,
Filename: msfp0118stt02.csv,,,,,,,,,,,,
"Table 2. State and federal prisoner deaths, by cause of death, 2001–2018",,,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–2018; and Federal Bureau of Prisons, 2001–2018",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 2. State and federal prisoner deaths, by cause of death, 2001–2018",,,,,,,,,,,,
,,State prisoners/a,,,,,,Federal prisoners/b,,,,
Cause of death,,Number of deaths,Percent of deaths,,,"Mortality rate per 100,000",,Number of deaths,Percent of deaths,,,"Mortality rate per 100,000"
,All causes,"61,130",100,%,,269,,"6,744",100,%,,232
Illness,,"53,355",87.3,%,,235,,"6,051",89.7,%,,208
,Heart disease,"15,855",25.9,,,70,,...,...,,,...
,Cancer,"16,777",27.4,,,74,,...,...,,,...
,Liver disease,"5,432",8.9,,,24,,...,...,,,...
,AIDS-related/c,"1,932",3.2,,,9,,167,2.5,,,6
,Respiratory disease,"3,824",6.3,,,17,,...,...,,,...
,All other illnesses/d,"9,535",15.6,,,42,,...,...,,,...
Suicide,,"3,870",6.3,%,,17,,313,4.6,%,,11
Drug/alcohol intoxication,,"1,235",2,%,,5,,...,...,,,...
Accident/e,,618,1,%,,3,,102,1.5,%,,4
Homicide/f,,"1,258",2.1,%,,6,,182,2.7,%,,6
Other causes,,415,0.7,%,,2,,0,0,%,,0
Missing/unknown,,379,0.6,%,,2,,96,1.4,%,,3
"Note: Data may have been revised from previously published statistics. Details may not sum to totals due to rounding. Excludes executions. For execution data, see Capital Punishment, 2017: Selected Findings (NCJ 253060, BJS, July 2019). See Methodology. Mortality rates are based on the annual number of deaths and a 1-day custody population on December 31.",,,,,,,,,,,,
...Not available.,,,,,,,,,,,,
a/Includes deaths in private state facilities.,,,,,,,,,,,,
b/Data on cause of death for federal prisoners were not available for all causes. Excludes deaths in private federal facilities.,,,,,,,,,,,,
c/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,
"d/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,
e/Includes death by intoxication among federal prisoners.,,,,,,,,,,,,
"f/Includes homicides committed by other prisoners, incidental to the use of force by staff, or resulting from injuries sustained prior to incarceration.",,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–2018; and Federal Bureau of Prisons, 2001–2018.",,,,,,,,,,,,
