Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
Filename: msfp0118stt04.csv,,,,,,,,,,,,,,,,,,,
"Table 4. Mortality rate per 100,000 state prisoners, by cause of death, 2001 and 2008–2018",,,,,,,,,,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001 and 2008–2018; and National Prisoner Statistics, 2001 and 2008–2018",,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table 4. Mortality rate per 100,000 state prisoners, by cause of death, 2001 and 2008–2018",,,,,,,,,,,,,,,,,,,
Cause of death,,2001,2008,2009,2010,,,2011,,,2012,2013,,,2014,2015,2016,2017,2018
,All causes,242,261,259,246,,,260,,,265,274,,,274,296,303,323,344
Illness,,217,229,229,218,,,231,,,234,243,,,239,259,260,267,273
,Heart disease,63,64,64,63,,,66,,,63,71,,,71,79,84,90,88
,Cancer,58,68,74,71,,,80,,,81,84,,,83,90,92,91,95
,Liver disease,26,24,26,22,,,26,,,24,28,,,25,24,21,20,18
,AIDS-related/a,23,7,7,6,,,4,,,6,4,,,5,4,3,3,2
,Respiratory disease,12,19,15,16,,,16,,,17,15,,,18,19,18,21,24
,All other illnesses/b,34,47,43,41,,,38,,,42,40,,,37,43,43,42,47
Suicide,,14,15,15,16,,,14,,,16,15,,,20,18,21,21,26
Drug/alcohol intoxication,,3,4,4,3,,,4,,,3,4,,,4,7,8,17,21
Accident,,2,2,2,2,,,3,,,4,3,,,3,3,3,4,4
Homicide/c,,3,3,4,5,,,5,,,7,7,,,7,7,8,9,10
Other causes,,0,7,1,1,!,,1,,,1,1,,,1,2,2,2,3
Missing/unknown,,3,0,3,0,!,,1,!,,1,1,!,,2,1,1,3,9
"Note: Data may have been revised from previously published statistics. Excludes executions. For execution data, see Capital Punishment, 2017: Selected Findings (NCJ 253060, BJS, July 2019). See Methodology. Includes deaths in private state facilities. Mortality rates are based on the annual number of deaths and a 1-day custody population on December 31.",,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 24.",,,,,,,,,,,,,,,,,,,
a/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,,,,,,,,
"b/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,,,,,,,,
"c/Includes homicides committed by other prisoners, incidental to the use of force by staff, or resulting from injuries sustained prior to incarceration.",,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001 and 2008–2018; and National Prisoner Statistics, 2001 and 2008–2018.",,,,,,,,,,,,,,,,,,,
