Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: msfp0118stt11.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11. Average annual mortality rate per 100,000 state prisoners within each demographic group, by cause of death and decedent characteristics, 2001–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–2018; National Inmate Survey, 2007–2009, 2011, and 2012; National Prisoner Statistics, 2001–2016; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11. Average annual mortality rate per 100,000 state prisoners within each demographic group, by cause of death and decedent characteristics, 2001–2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Illness,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,All causes/a,,,Heart disease,,,Cancer,,,Liver disease,,,AIDS-related/b,,,Respiratory disease,,,All other illnesses/c,,,Suicide,,,Drug/alcohol intoxication,Accident,,,Homicide/d,
,Total,269,,,70,,,74,,,24,,,9,,,17,,,42,,,17,,,5,3,,,6,
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,278,,,73,,,76,,,25,,,9,,,17,,,43,,,17,,,6,3,,,6,
,Female,156,,,33,,,40,,,12,,,6,,,12,,,33,,,13,,,3,1,,,0,
Race/ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White/e,432,,,114,,,125,,,41,,,6,,,30,,,60,,,31,,,9,5,,,8,
,Black/e,252,,,70,,,69,,,15,,,15,,,14,,,43,,,10,,,4,2,,,5,
,Hispanic,142,,,26,,,31,,,22,,,4,,,8,,,26,,,13,,,5,2,,,5,
,"Other/e,f",53,,,11,,,12,,,6,,,1,,,2,,,8,,,8,,,2,1,,,2,
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 or younger,67,!,,6,!,,12,!,,3,!,,0,!,,3,!,,3,!,,33,!,,0,3,!,,3,!
,18–24,37,,,4,,,2,,,0,,,1,,,2,,,4,,,15,,,2,1,,,4,
,25–34,58,,,10,,,5,,,1,,,3,,,3,,,7,,,17,,,4,1,,,5,
,35–44,138,,,32,,,22,,,10,,,12,,,6,,,21,,,18,,,6,2,,,5,
,45–54,419,,,99,,,115,,,60,,,17,,,20,,,68,,,18,,,8,3,,,6,
,55 or older,"1,704",,,509,,,581,,,131,,,15,,,133,,,271,,,18,,,8,10,,,10,
"Note: Data may have been revised from previously published statistics. Excludes executions. For execution data, see Capital Punishment, 2017: Selected Findings (NCJ 253060, BJS, July 2019). Includes deaths in private state facilities. Mortality rates are based on the annual number of deaths and a 1-day custody population on December 31.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer cases, or coefficient of variation is greater than 50%. See Methodology – Interpreting rates among small populations, p. 24.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a/Includes other causes not specified and missing and unknown causes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes homicides committed by other prisoners, incidental to the use of force by staff, or resulting from injuries sustained prior to incarceration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f/Includes Asians, Native Hawaiians or Other Pacific Islanders, American Indians or Alaska Natives, and persons of two or more races. Due to the small number of deaths and prison populations of American Indians and Alaska Natives, Asians, and Native Hawaiians and Other Pacific Islanders, mortality rates for these populations are unstable and not shown. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–2018; National Inmate Survey, 2007–2009, 2011, and 2012; National Prisoner Statistics, 2001–2016; Survey of Inmates in State Correctional Facilities, 2004; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
