Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: msfp0118stt12.csv,,,,,,,,,,,,,
"Table 12. Number of prisoner deaths in state and federal facilities, by jurisdiction, 2001 and 2008–2018",,,,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001 and 2008–2018; and Federal Bureau of Prisons, 2001 and 2008–2018",,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 12. Number of prisoner deaths in state and federal facilities, by jurisdiction, 2001 and 2008–2018",,,,,,,,,,,,,
Jurisdiction,,2001,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Federal/a,,301,399,376,387,387,350,400,444,455,388,381,378
State/b,,"2,869","3,452","3,417","3,233","3,351","3,357","3,478","3,484","3,682","3,729","3,943","4,135"
,Alabama,87,75,80,66,104,86,107,102,112,118,116,125
,Alaska/c,8,14,7,13,12,11,8,12,15,10,9,11
,Arizona,64,77,85,85,86,87,95,99,105,126,133,131
,Arkansas,42,41,50,54,50,43,56,57,54,71,81,76
,California,287,371,395,414,388,368,365,317,353,334,384,449
,Colorado,42,38,49,48,37,48,40,35,51,57,41,55
,Connecticut/d,30,32,29,21,19,24,20,24,23,17,14,28
,Delaware/d,16,15,12,23,15,10,14,18,17,14,10,16
,Florida,182,291,278,275,297,324,305,346,354,356,428,440
,Georgia,93,128,125,112,121,103,122,121,131,133,173,163
,Hawaii/d,7,14,11,12,6,12,14,8,4,9,4,6
,Idaho,17,18,13,13,13,9,10,23,18,16,15,22
,Illinois,86,71,75,94,97,85,78,88,120,90,104,83
,Indiana,46,70,91,69,74,59,66,70,85,70,68,67
,Iowa,9,21,14,13,12,20,16,15,19,29,16,19
,Kansas,21,24,20,22,25,17,28,21,25,35,26,33
,Kentucky,36,68,57,42,60,55,40,44,60,42,70,50
,Louisiana,71,117,108,100,108,116,118,118,113,123,115,114
,Maine,6,2,4,3,5,2,3,7,5,5,4,8
,Maryland,70,69,56,40,41,46,58,43,62,49,57,57
,Massachusetts,29,29,29,39,33,42,39,45,34,34,37,42
,Michigan,114,99,148,93,119,124,124,121,118,106,106,135
,Minnesota,13,17,12,16,19,14,20,14,11,18,6,6
,Mississippi,36,54,52,52,47,41,68,50,45,65,77,76
,Missouri,57,87,81,88,74,71,92,97,106,99,94,106
,Montana,6,9,3,2,6,11,7,19,13,16,13,5
,Nebraska,7,6,11,12,17,11,16,13,17,9,16,10
,Nevada,27,35,35,41,34,37,35,44,47,42,47,29
,New Hampshire,2,5,9,4,10,5,8,5,8,9,5,8
,New Jersey,69,66,58,56,66,48,46,50,52,49,39,33
,New Mexico,11,29,21,16,16,14,17,24,19,16,18,22
,New York,175,133,142,124,117,115,142,123,115,147,143,138
,North Carolina,66,117,86,87,71,79,81,94,90,127,104,118
,North Dakota,3,0,0,1,1,3,1,0,0,4,2,0
,Ohio,115,101,120,116,111,126,124,111,138,133,149,151
,Oklahoma,51,88,79,60,85,79,87,107,107,93,86,113
,Oregon,24,31,34,39,40,26,30,31,37,47,25,34
,Pennsylvania,122,145,165,141,157,157,157,145,166,171,181,166
,Rhode Island/d,3,6,7,7,10,6,4,7,5,2,8,5
,South Carolina,69,83,49,70,55,58,66,66,76,79,105,100
,South Dakota,4,6,4,8,11,9,6,7,7,5,12,6
,Tennessee,51,74,69,74,59,84,82,83,94,102,96,121
,Texas,408,469,426,375,417,462,438,409,418,403,469,505
,Utah,5,11,17,13,12,15,23,23,16,21,20,17
,Vermont/d,3,3,3,5,0,2,8,6,4,7,4,2
,Virginia,71,86,87,93,99,86,82,90,90,90,93,106
,Washington,29,35,44,35,21,33,39,38,42,28,40,36
,West Virginia,17,19,18,20,23,24,26,24,28,26,29,34
,Wisconsin,48,44,42,25,48,46,43,58,46,66,43,52
,Wyoming,5,9,7,2,3,4,4,12,7,11,8,6
"Note: Data may have been revised from previously published statistics. Details may not sum to totals due to missing data. Excludes executions. For execution data, see Capital Punishment, 2017: Selected Findings (NCJ 253060, BJS, July 2019). See Methodology.",,,,,,,,,,,,,
"a/Excludes deaths in private federal facilities. Until 2015, federal deaths were submitted as an aggregate count by the Federal Bureau of Prisons (BOP), with limited details regarding cause of death, and excluded deaths in private federal facilities. See appendix table 2 for deaths from 2015 to 2018 in federal prison facilities operated by the BOP or operated privately under a BOP contract.",,,,,,,,,,,,,
"b/Includes deaths in private state facilities. Includes nine prisoner deaths reported by the District of Columbia in 2001. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the BOP.",,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Counts include deaths only in state-operated prisons and jails and exclude deaths in 15 locally operated jails.,,,,,,,,,,,,,
d/Prisons and jails form one integrated system. Data include the total jail and prison population.,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001 and 2008–2018; and Federal Bureau of Prisons, 2001 and 2008–2018.",,,,,,,,,,,,,
