Bureau of Justice Statistics,,,,,,,,,,,,
Filename: msfp0118stt14.csv,,,,,,,,,,,,
"Table 14. Number of prisoner deaths in state and federal facilities, by cause of death and jurisdiction, 2001–2018",,,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–2018; and Federal Bureau of Prisons, 2001–2018",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 4/29/2021,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 14. Number of prisoner deaths in state and federal facilities, by cause of death and jurisdiction, 2001–2018",,,,,,,,,,,,
,,,Illness,,,,,,,,,
Jurisdiction,,All causes/a,Heart disease,Cancer,Liver disease,AIDS-related/b,Respiratory disease,All other illnesses/c,Suicide,Drug/alcohol intoxication,Accident/d,Homicide/e
Federal/f,,"6,744",...,...,...,167,...,"5,884",313,...,102,182
State/g,,"61,130","15,855","16,777","5,432","1,932","3,824","9,535","3,870","1,235",618,"1,258"
,Alabama,"1,601",369,403,136,37,107,287,40,13,17,46
,Alaska/h,176,42,28,17,1,4,24,34,10,9,4
,Arizona,"1,607",380,422,206,34,89,202,116,75,15,54
,Arkansas,900,302,241,64,25,45,92,52,42,14,15
,California,"6,628","1,131","1,635",647,116,472,"1,356",558,336,49,282
,Colorado,805,155,165,129,1,58,144,73,35,15,29
,Connecticut/i,472,115,65,66,11,27,96,75,3,6,7
,Delaware/i,274,69,63,25,20,14,33,32,6,1,2
,Florida,"5,260","1,129","1,552",407,303,350,931,170,160,63,135
,Georgia,"2,212",735,559,122,82,181,284,122,8,18,75
,Hawaii/i,162,30,42,17,4,7,23,28,4,1,5
,Idaho,265,69,66,23,4,13,38,35,5,5,4
,Illinois,"1,590",457,503,80,64,88,211,132,14,15,17
,Indiana,"1,165",312,314,102,22,76,170,78,40,17,28
,Iowa,290,64,100,17,5,29,35,31,3,1,2
,Kansas,436,120,125,50,2,29,65,27,6,8,3
,Kentucky,887,298,280,64,30,46,130,22,3,4,6
,Louisiana,"1,806",558,547,140,109,85,231,40,3,20,9
,Maine,74,23,18,6,1,6,8,4,2,0,5
,Maryland,"1,039",260,218,82,109,43,117,79,62,9,46
,Massachusetts,622,170,170,62,10,28,90,58,10,9,4
,Michigan,"2,180",654,744,169,39,123,220,131,35,25,22
,Minnesota,235,47,70,32,1,10,43,26,4,1,1
,Mississippi,"1,001",366,251,47,24,49,136,47,4,14,28
,Missouri,"1,471",406,449,158,26,83,216,70,21,8,24
,Montana,161,31,44,25,2,10,25,18,3,1,2
,Nebraska,195,44,44,25,4,9,22,18,5,3,6
,Nevada,623,151,141,42,9,27,129,39,6,4,11
,New Hampshire,119,26,46,11,3,4,12,12,5,0,0
,New Jersey,986,314,234,61,83,58,129,52,21,10,12
,New Mexico,318,71,82,57,4,17,38,29,7,1,11
,New York,"2,599",690,754,200,221,115,233,229,56,34,29
,North Carolina,"1,605",437,524,130,74,104,210,64,8,24,16
,North Dakota,20,4,5,2,1,0,3,4,1,0,0
,Ohio,"2,175",618,746,119,34,161,303,126,20,8,31
,Oklahoma,"1,475",385,371,167,30,85,196,87,39,32,60
,Oregon,603,128,184,87,7,29,81,36,13,7,10
,Pennsylvania,"2,730",776,790,240,38,170,500,150,21,14,18
,Rhode Island/i,112,27,21,3,5,5,9,26,5,3,1
,South Carolina,"1,246",472,267,81,36,52,195,69,11,7,53
,South Dakota,128,30,28,18,1,13,13,17,1,4,3
,Tennessee,"1,451",441,397,148,43,71,194,67,30,13,33
,Texas,"7,602","1,896","1,899",804,172,595,"1,542",492,27,76,72
,Utah,245,59,52,20,0,10,43,39,5,3,8
,Vermont/i,69,17,13,11,3,1,11,10,3,0,0
,Virginia,"1,586",423,543,153,54,82,207,60,19,10,14
,Washington,637,150,182,70,9,54,98,43,9,11,8
,West Virginia,366,138,98,25,6,17,58,10,3,2,6
,Wisconsin,808,226,265,50,11,64,85,85,9,6,1
,Wyoming,104,38,17,14,1,8,15,8,2,1,0
"Note: Data may have been revised from previously published statistics. Details may not sum to totals due to missing data. Excludes executions. For execution data, see Capital Punishment, 2017: Selected Findings (NCJ 253060, BJS, July 2019). See Methodology.",,,,,,,,,,,,
...Not available.,,,,,,,,,,,,
a/Includes other causes not specified and missing and unknown causes.,,,,,,,,,,,,
b/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,,,,,,,,,
"c/Includes other specified illnesses (such as cerebrovascular disease, influenza, and other nonleading natural causes of death) and unspecified illnesses. Includes natural and illness-related deaths of federal prisoners for which the Federal Bureau of Prisons (BOP) could not provide details.",,,,,,,,,,,,
d/Includes death by intoxication among federal prisoners.,,,,,,,,,,,,
"e/Includes homicides committed by other prisoners, incidental to the use of force by staff, or resulting from injuries sustained prior to incarceration.",,,,,,,,,,,,
f/Excludes deaths in private federal facilities.,,,,,,,,,,,,
