Bureau of Justice Statistics,,,,
Filename: msfp0118stt16.csv,,,,
"Table 16. Preliminary number and percent of deaths in state prisons, by selected causes of death, 2019",,,,
"Report title: Mortality in State and Federal Prisons, 2001-2018 – Statistical Tables  NCJ 255970",,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2019",,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 4/29/2021,,,,
,,,,
"Table 16. Preliminary number and percent of deaths in state prisons, by selected causes of death, 2019",,,,
Cause of death,,Number,Percent/a,
,All causes,"3,293",100,%
Illness/b,,"2,429",73.8,
AIDS-related/c,,13,0.4,
Suicide,,271,8.2,
Drug/alcohol intoxication,,204,6.2,
Accident,,24,0.7,
Homicide/d,,106,3.2,
Other causes,,46,1.4,
Missing/unknown,,200,6.1,
"Note: Represents a 98% response rate. As of July 13, 2020, a total of 49 of the 50 state departments of corrections had reported at least one death to the Mortality in Correctional Institutions. Excludes executions. For execution data, see Capital Punishment, 2019: Selected Findings (BJS, Forthcoming).",,,,
a/Based on the total number of records reported.,,,,
b/Excludes AIDS-related deaths.,,,,
c/Includes persons who died of illness and were identified as HIV-positive or having AIDS at the time of death.,,,,
"d/Includes homicides committed by other prisoners, incidental to the use of force by staff, or resulting from injuries sustained prior to incarceration.",,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2019.",,,,
