state,year,,inmate_noncon_acts_all,inmate_noncon_acts_subs,inmate_abusive_contact_all,inmate_abusive_contact_subs,staff_sexual_misconduct_all,staff_sexual_misconduct_subs,staff_sexual_harassment_all,staff_sexual_harassment_subs,prisoners_in_custody_moy
ALABAMA,2004,,6,2, - -, - -,5,3,4,0,"24,768"
ALASKA,2004,,0,0,0,0,4,3,5,4,"3,158"
ARIZONA,2004,,18,4,1,0,54,19,32,9,"26,833"
ARKANSAS,2004,,4,1,4,0,15,1,5,0,"12,655"
CALIFORNIA,2004,,23,23, - -, - -,126,75, - -, - -,"160,703"
COLORADO,2004,,5,3, - -, - -,20,5, - -, - -,"16,609"
CONNECTICUT,2004,,6,0,0,0,0,0,0,0,"18,814"
DELAWARE,2004,,3,0,2,0,7,1,5,4,"6,778"
FLORIDA,2004,,75,2, - -, - -,181,10, - -, - -,"77,647"
GEORGIA,2004,,51,0, - -, - -, - -, - -, - -, - -,"44,026"
HAWAII,2004,,6,0,0,0,11,4,0,0,"3,877"
IDAHO,2004,,3,3, - -, - -,17,11, - -, - -,"4,621"
ILLINOIS,2004,,17,1,3,0,2,0, - -, - -,"44,379"
INDIANA,2004,,18,0, - -, - -,40,17,27,8,"21,236"
IOWA,2004,,4,4,10,10,2,2,5,5,"8,611"
KANSAS,2004,,21,2,12,6,39,13,1,0,"9,181"
KENTUCKY,2004,,7,2,3,0,42,11, - -, - -,"10,814"
LOUISIANA,2004,,1,0,1,0,18,0,6,0,"16,672"
MAINE,2004,,0,0,0,0,4,3,2,0,"1,986"
MARYLAND,2004,,3,1, - -, - -,5,1, - -, - -,"23,622"
MASSACHUSETTS,2004,,12,2,23,7,28,2, - -, - -,"10,043"
MICHIGAN,2004,,39,17, - -, - -,23,3,39,1,"48,111"
MINNESOTA,2004,,13,4,1,0,33,7,18,13,"7,827"
MISSISSIPPI,2004,,3,0,0,0,9,1,1,0,"11,456"
MISSOURI,2004,,17,3,15,1,45,16, - -, - -,"30,139"
MONTANA,2004,,2,1, - -, - -,3,0, - -, - -,"2,074"
NEBRASKA,2004,,12,0,0,0,12,4,4,2,"4,053"
NEVADA,2004,,15,4, - -, - -,2,0, - -, - -,"10,152"
NEW HAMPSHIRE,2004,,0,0,0,0,0,0,0,0,"2,426"
NEW JERSEY,2004,,1,0, - -, - -,9,0, - -, - -,"23,752"
NEW MEXICO,2004,,4,1, - -, - -,1,0, - -, - -,"3,703"
NEW YORK,2004,,15,2,1,0,181,12,99,1,"64,778"
NORTH CAROLINA,2004,,15,0, - -, - -,13,13, - -, - -,"35,219"
NORTH DAKOTA,2004,,0,0,2,2,1,1,1,0,"1,176"
OHIO,2004,,86,14,32,4,26,6, - -, - -,"42,231"
OKLAHOMA,2004,,29,2,15,1,11,2,5,0,"17,727"
OREGON,2004,,16,5, - -, - -,16,4, - -, - -,"12,678"
PENNSYLVANIA,2004,,9,3, - -, - -,34,7,14,6,"39,823"
RHODE ISLAND,2004,,9,3,1,0,4,2,3,0,"3,494"
SOUTH CAROLINA,2004,,14,1, - -, - -,37,8, - -, - -,"23,321"
SOUTH DAKOTA,2004,,2,0,2,0, - -, - -, - -, - -,"3,157"
TENNESSEE,2004,,8,2, - -, - -,32,9,9,2,"14,306"
TEXAS,2004,,550,13,59,2,56,1, - -, - -,"139,148"
UTAH,2004,,18,2, - -, - -,7,2,0,0,"4,550"
VERMONT,2004,,6,1, - -, - -, - -, - -, - -, - -,"1,632"
VIRGINIA,2004,,5,1,0,0,51,16,0,0,"29,514"
WASHINGTON,2004,,12,4, - -, - -, - -, - -, - -, - -,"16,765"
WEST VIRGINIA,2004,,12,11,16,15,24,16,1,1,"3,987"
WISCONSIN,2004,,31,7,17,8,46,3, - -, - -,"21,560"
WYOMING,2004,,3,1,1,1,9,7,1,0,"1,174"
