Bureau of Justice Statistics,,,,,,,,,,
Filename: ssvacf1218stt04.csv,,,,,,,,,,
"Table 4. Sexual victimization reported by federal and state prison authorities, by type of victimization, 2018",,,,,,,,,,
"Report title: Survey of Sexual Victimization in Adult Correctional Facilities, 2012-2018 – Statistical Tables  NCJ 252836",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2018",,,,,,,,,,
"Authors: Laura M. Maruschak and Emily D. Buehler, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 6/2/2021,,,,,,,,,,
,,,,,,,,,,
"Table 4. Sexual victimization reported by federal and state prison authorities, by type of victimization, 2018",,,,,,,,,,
,,,Inmate-on-inmate,,,,Staff-on-inmate,,,
,,,Nonconsensual sexual acts,,Abusive sexual contact,,Staff sexual misconduct,,Staff sexual harassment,
Jurisdiction,,Prisoners in custody on 12/31/2018/a,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated,Alleged,Substantiated
,Total,"1,252,111","3,541",183,"3,220",280,"5,986",338,"4,623",105
Federal,,"151,466",188,8,159,11,290,4,285,1
State,,"1,100,645","3,353",175,"3,061",269,"5,696",334,"4,338",104
,Alabama,"20,875",233,16,55,0,23,1,7,0
,Alaska,"4,026",10,1,10,1,5,0,14,3
,Arizona,"33,706",127,3,89,0,109,5,53,1
,Arkansas,"15,578",26,12,3,2,39,19,11,2
,California,"122,090",288,3,182,8,367,14,193,3
,Colorado,"16,086",40,2,58,9,48,13,1,1
,Connecticut,"12,721",27,2,59,5,11,0,21,0
,Delaware,"5,582",19,0,20,0,26,0,70,0
,Florida,"85,169",479,21,157,0,269,5,54,0
,Georgia/b,"40,778",0,0,373,19,294,14,462,4
,Hawaii,"3,527",34,3,20,2,34,5,10,1
,Idaho,"6,743",18,2,23,10,30,5,23,0
,Illinois,"39,392",64,7,155,7,196,1,565,6
,Indiana,"22,299",44,2,38,7,63,19,26,3
,Iowa,"9,421",29,2,51,19,41,8,14,1
,Kansas,"9,938",15,2,41,4,26,8,19,0
,Kentucky,"11,447",85,1,70,13,140,10,30,1
,Louisiana,"14,880",40,6,21,2,152,7,36,0
,Maine,"2,369",2,0,7,5,10,1,12,4
,Maryland,"18,970",39,3,11,0,76,0,49,0
,Massachusetts,"8,360",31,1,34,3,79,4,53,4
,Michigan,"38,761",171,3,131,12,476,13,754,12
,Minnesota,"9,032",11,0,7,0,8,3,7,0
,Mississippi/c,"10,061",139,1,/,/,7,0,15,0
,Missouri,"29,970",104,16,133,16,127,19,235,8
,Montana,"1,752",24,1,58,9,45,4,49,4
,Nebraska,"5,194",18,0,14,0,20,3,7,0
,Nevada/c,"13,182",76,3,/,/,60,0,50,1
,New Hampshire,"2,515",9,0,8,0,1,0,1,0
,New Jersey,"16,393",31,0,29,0,59,3,73,2
,New Mexico,"4,572",0,0,5,0,34,4,45,2
,New York,"46,778",72,3,17,1,295,12,105,1
,North Carolina,"35,127",26,1,148,14,331,25,67,1
,North Dakota,"1,336",0,0,0,0,3,0,2,0
,Ohio,"43,832",99,12,108,11,93,11,14,2
,Oklahoma,"19,968",40,1,10,2,30,15,3,2
,Oregon,"14,707",32,2,37,2,43,3,37,5
,Pennsylvania,"45,941",170,3,225,22,766,5,559,6
,Rhode Island,"2,580",9,0,24,5,9,0,26,0
,South Carolina,"18,486",65,4,17,3,50,2,12,0
,South Dakota,"3,809",11,0,39,3,11,2,22,4
,Tennessee/c,"11,937",43,1,/,/,52,10,88,3
,Texas,"137,286",310,14,345,21,759,24,41,2
,Utah,"5,202",9,6,9,6,1,1,3,0
,Vermont,"1,492",6,1,13,3,30,4,5,0
,Virginia,"27,902",11,0,47,4,54,6,256,10
,Washington,"17,415",120,4,73,7,182,15,65,4
,West Virginia/c,"5,829",28,0,/,/,24,4,25,0
,Wisconsin/d,"23,576",54,2,84,11,85,6,48,0
,Wyoming,"2,053",15,8,3,1,3,1,1,1
Note: Excludes the District of Columbia. See Terms and definitions for information on types of victimization.,,,,,,,,,,
/Not reported.,,,,,,,,,,
a/Excludes inmates in privately operated facilities and facilities operated and administered by local governments. Counts were based on the 2018 National Prisoner Statistics data collection.,,,,,,,,,,
b/Allegations of nonconsensual sexual acts were not recorded.,,,,,,,,,,
c/Allegations of abusive sexual contact could not be counted separately from allegations of nonconsensual sexual acts. ,,,,,,,,,,
d/Counts of nonconsensual sexual acts were based on completed acts only.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Survey of Sexual Victimization, 2018.",,,,,,,,,,
