state,year,age_1824,age_2534,age_3544,age_4554,age_55p,educ_anycoll,educ_hs,educ_nohs,sent_1m,sent_1_2,sent_2_5,sent_5_10,sent_10_25,sent_25p,sent_life,sent_miss,off_manslaughter,off_assault,off_drugs,off_fraud,off_larceny,off_cartheft,off_murder,off_burglary,off_publicorder,off_rapesa,off_robbery,off_othprop,off_othviolent,off_other,off_missing,crime_violent,crime_public,crime_property,crime_drugs,crime_other,crime_missing
ALABAMA,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALABAMA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALABAMA,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALABAMA,2007,3456,9742,8512,5645,2058,,,,817,496,4126,2485,12334,3757,5393,,855,1588,5956,1036,1882,,3908,3037,1598,2798,4918,1418,387,29,,14455,1598,7374,5956,29,
ALABAMA,2008,3677,10114,8634,5820,2262,,,,768,593,4202,2784,12573,3983,5602,,897,1651,6247,986,1903,,4131,3078,1562,2972,5170,1434,437,36,,15259,1562,7403,6247,36,
ALABAMA,2009,4057,10547,8721,6076,2473,,,,867,582,4381,3116,12951,4154,5820,,949,1763,6592,943,1984,,4323,3163,1541,3034,5541,1495,484,61,,16093,1541,7587,6592,61,
ALABAMA,2010,3976,10444,8513,6145,2686,,,,749,571,4030,3101,13091,4292,5928,,982,1878,6382,876,1955,,4434,3137,1505,3034,5628,1376,520,56,,16475,1505,7345,6382,56,
ALABAMA,2011,3864,10371,8769,6319,2947,,,,770,581,4052,3128,13198,4460,6077,,986,1832,6633,822,2059,,4556,3218,1491,3036,5671,1374,529,63,,16610,1491,7473,6633,63,
ALABAMA,2012,3761,10209,8877,6403,3181,,,,832,562,4044,3183,13143,4510,6151,,973,1836,6530,827,2152,,4610,3287,1560,3055,5557,1430,525,86,,16556,1560,7698,6530,86,
ALABAMA,2013,3493,10017,9096,6360,3415,,,,845,608,3914,3231,12986,4586,6208,,951,1858,6285,822,2122,,4710,3302,1671,3043,5611,1356,565,84,,16737,1671,7604,6285,84,
ALABAMA,2014,3105,9580,9211,6271,3603,,,,636,590,3691,3207,12712,4616,6315,,970,1874,5761,732,1991,,4846,3166,1815,3076,5589,1223,633,94,,16987,1815,7113,5761,94,
ALABAMA,2015,2811,9085,9066,6081,3767,,,,684,576,3559,3233,12040,4520,6191,,957,1896,5382,644,1870,,4807,2974,1897,3096,5384,1161,647,95,,16786,1897,6650,5382,95,
ALABAMA,2016,2321,8403,8482,5811,3867,,,,712,512,3215,2982,11031,4383,6027,21,908,1803,4728,542,1631,,4767,2703,1966,3049,5074,987,657,66,,16258,1966,5865,4728,66,
ALABAMA,2017,2077,8154,8094,5406,3877,,,,684,706,3508,2935,9841,4087,5740,107,851,1754,4543,506,1460,,4708,2524,2061,2940,4511,998,686,66,,15449,2061,5489,4543,66,
ALABAMA,2018,1835,7788,8101,5189,3928,,,,663,669,3512,3050,9463,3871,5511,100,834,1732,4623,479,1332,,4615,2334,2180,2827,4096,963,715,110,,14818,2180,5109,4623,110,
