Bureau of Justice Statistics,,,,
Filename: sljsfp0019stf03.csv,,,,
"Figure 3. Percent of suicides in local jails, by time served between admission and death, 2000–04 and 2015–19",,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19",,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,
Date of version: 10/7/2021,,,,
,,,,
"Figure 3. Percent of suicides in local jails, by time served between admission and death, 2000–04 and 2015–19",,,,
,Percent of suicides,,,
Time served in jail on current admission,2000–04,,2015–19,
Less than 1 day,12.2,%,5.1,%
1 day,9.6,,6.8,
2–7 days,25.7,,31.9,
8–30 days,16.9,,22.4,
31–60 days,10.1,,9,
61–120 days,9.2,,9.9,
121–180 days,5.1,,4.8,
6 months or more,9.9,,9.9,
"Note: Excludes deaths in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Details may not sum to totals due to rounding and missing data. Data may have been revised from previously published statistics. See Methodology. See table 6 for percentages.",,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19.",,,,
