Bureau of Justice Statistics,,,,,,
Filename: sljsfp0019stf04.csv,,,,,,
"Figure 4. Percent of suicides in state and federal prisons, by time served between admission and death, 2001–04 and 2015–19",,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,
"Data source: Bureau of Justice Statistics, Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2015–2019; and Mortality in Correctional Institutions, 2001–2019",,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of version: 10/7/2021,,,,,,
,,,,,,
"Figure 4. Percent of suicides in state and federal prisons, by time served between admission and death, 2001–04 and 2015–19",,,,,,
,Percent of suicides,,,,,
Time served in prison on current sentence,"State, 2001–04/a",,"State, 2015–19/a",,"Federal, 2015–19/b",
1 week or less,4.1,%,3.2,%,0.8,%
1.1 weeks–1 month,4.2,,3.7,,3.3,
1.1–6 months,16.4,,10.8,,9.2,
6.1 months–1 year,12.5,,7,,7.5,
1.1–5 years,31.6,,32,,33.3,
5.1–10 years,17.7,,18.3,,18.3,
10.1 years or more,13.2,,24.6,,12.5,
Note: Details may not sum to totals due to rounding and missing data. Data may have been revised from previously published statistics. See Methodology. See tables 14 and 18 for percentages.,,,,,,
"a/Includes deaths in publicly and privately operated state facilities and in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont.",,,,,,
"b/Includes deaths in Federal Bureau of Prisons (BOP) facilities and excludes deaths in privately operated federal facilities. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the BOP. See Methodology.",,,,,,
"Source: Bureau of Justice Statistics, Federal Law Enforcement Agency Deaths in Custody Reporting Program, 2015–2019; and Mortality in Correctional Institutions, 2001–2019.",,,,,,
