Bureau of Justice Statistics,,,,,,
Filename: sljsfp0019stt02.csv,,,,,,
"Table 2. Aggregated number of suicides in local jails, by state and region, 2000–19",,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19",,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of version: 10/7/2021,,,,,,
,,,,,,
"Table 2. Aggregated number of suicides in local jails, by state and region, 2000–19",,,,,,
,,2000–04,2005–09,2010–14,2015–19,2000–19
,U.S. total,"1,511","1,379","1,613","1,714","6,217"
Northeast,,194,171,199,201,765
,Maine,7,6,8,6,27
,Massachusetts,14,18,22,26,80
,New Hampshire,8,8,7,10,33
,New Jersey,26,30,33,27,116
,New York,55,42,53,34,184
,Pennsylvania,84,67,76,98,325
Midwest,,316,288,356,390,"1,350"
,Illinois,43,42,42,42,169
,Indiana,29,31,45,49,154
,Iowa,9,12,13,12,46
,Kansas,39,23,23,28,113
,Michigan,44,40,50,38,172
,Minnesota,21,12,17,30,80
,Missouri,36,36,52,51,175
,Nebraska,15,10,8,12,45
,North Dakota,4,5,5,4,18
,Ohio,52,51,65,76,244
,South Dakota,4,5,3,7,19
,Wisconsin,20,21,33,41,115
South,,654,598,655,701,"2,608"
,Alabama,40,34,36,37,147
,Arkansas,34,16,26,20,96
,District of Columbia,1,4,5,5,15
,Florida,63,82,94,94,333
,Georgia,75,68,66,73,282
,Kentucky,21,21,23,15,80
,Louisiana,25,30,28,34,117
,Maryland,33,37,36,38,144
,Mississippi,28,33,27,29,117
,North Carolina,41,31,41,62,175
,Oklahoma,28,28,25,32,113
,South Carolina,16,17,29,26,88
,Tennessee,38,48,41,59,186
,Texas,135,94,114,105,448
,Virginia,66,53,51,57,227
,West Virginia,10,2,13,15,40
West,,347,322,403,422,"1,494"
,Arizona,29,26,25,39,119
,California,156,132,167,160,615
,Colorado,35,45,28,59,167
,Idaho,6,12,16,8,42
,Montana,11,10,18,10,49
,Nevada,27,13,19,25,84
,New Mexico,23,12,28,18,81
,Oregon,15,10,16,22,63
,Utah,21,25,32,31,109
,Washington,17,33,48,42,140
,Wyoming,7,4,6,8,25
"Note: For details on regions, see U.S. Census Bureau. (n.d.). Census regions and divisions of the United States. https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf. Excludes deaths in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Data may have been revised from previously published statistics. See Methodology. ",,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19.",,,,,,
