Bureau of Justice Statistics,,,,,,,,,,
Filename: sljsfp0019stt03.csv,,,,,,,,,,
"Table 3. Average rate of suicides per 100,000 inmates in local jails, by state and region, 2000–19",,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19",,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,
,,,,,,,,,,
"Table 3. Average rate of suicides per 100,000 inmates in local jails, by state and region, 2000–19",,,,,,,,,,
,,2000–04,,2005–09,,2010–14,,2015–19,,2000–19
,U.S. total,46,,36,,44,,48,,43
Northeast,,42,,33,,42,,50,,41
,Maine,96, !,74, !,131, !,82, !,94
,Massachusetts,24,,27,,43,,53,,36
,New Hampshire,114, !,80, !,67, !,118, !,91
,New Jersey,32,,33,,42,,48,,38
,New York,37,,27,,38,,31,,33
,Pennsylvania,54,,36,,41,,58,,47
Midwest,,56,,45,,58,,63,,55
,Illinois,43,,38,,40,,48,,42
,Indiana,38,,35,,53,,52,,44
,Iowa,52, !,59,,63,,51,,56
,Kansas,125,,62,,63,,73,,79
,Michigan,53,,44,,59,,47,,51
,Minnesota,70,,33,,52,,85,,60
,Missouri,82,,65,,90,,84,,80
,Nebraska,122,,66,,46, !,62,,70
,North Dakota,108, !,106, !,87, !,54, !,83
,Ohio,57,,51,,71,,78,,64
,South Dakota,62, !,64, !,36, !,71, !,58
,Wisconsin,29,,29,,50,,63,,42
South,,41,,32,,36,,38,,37
,Alabama,62,,45,,50,,49,,51
,Arkansas,116,,47,,71,,46,,67
,District of Columbia,8, !,27, !,39, !,53, !,30
,Florida,24,,26,,34,,35,,29
,Georgia,40,,30,,31,,36,,34
,Kentucky,28,,24,,25,,13,,21
,Louisiana,19,,21,,18,,23,,20
,Maryland,56,,56,,60,,82,,62
,Mississippi,55,,60,,47,,43,,51
,North Carolina,57,,34,,44,,64,,49
,Oklahoma,71,,53,,51,,55,,57
,South Carolina,30,,26,,49,,46,,38
,Tennessee,35,,36,,34,,41,,37
,Texas,46,,29,,35,,31,,35
,Virginia,57,,37,,35,,41,,42
,West Virginia,62,,10, !,62,,64,,49
West,,49,,40,,53,,56,,49
,Arizona,44,,33,,36,,59,,42
,California,42,,32,,43,,42,,40
,Colorado,65,,67,,46,,93,,68
,Idaho,39, !,61,,88,,39, !,57
,Montana,123,,108,,179,,79,,120
,Nevada,88,,37,,54,,70,,61
,New Mexico,67,,27,,66,,51,,52
,Oregon,44,,29,,51,,70,,48
,Utah,71,,74,,90,,85,,80
,Washington,30,,50,,79,,70,,57
,Wyoming,115, !,50, !,77, !,109, !,86
"Note: For details on regions, see U.S. Census Bureau. (n.d.). Census regions and divisions of the United States. https://www2.census.gov/geo/pdfs/maps-data/maps/reference/us_regdiv.pdf. Rates are based on the annual number of suicides and the average daily population (ADP) in local jails. In 2000, the ADP was estimated by taking the average of January 1 and December 31 inmate population counts. Excludes deaths and populations in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Data may have been revised from previously published statistics. See Methodology. ",,,,,,,,,,
! Interpret with caution. Estimate is based on 10 or fewer cases.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19.",,,,,,,,,,
