Bureau of Justice Statistics,,,,,,,,,,,
Filename: sljsfp0019stt04.csv,,,,,,,,,,,
"Table 4. Percent of suicides in local jails, by demographic characteristics of inmates, 2000–19",,,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,
,,,,,,,,,,,
"Table 4. Percent of suicides in local jails, by demographic characteristics of inmates, 2000–19",,,,,,,,,,,
Inmate characteristic,,2000–04,,2005–09,,2010–14,,2015–19,,2000–19,
,Total suicides,"1,511",,"1,379",,"1,613",,"1,714",,"6,217",
Sex,,100,%,100,%,100,%,100,%,100,%
,Male,91.7,,92.2,,90.5,,88.1,,90.5,
,Female,8.2,,7.8,,9.5,,11.9,,9.5,
Race/ethnicity,,100,%,100,%,100,%,100,%,100,%
,White/a,70.5,,69.2,,71.5,,74,,71.4,
,Black/a,14.1,,15,,13,,11.3,,13.2,
,Hispanic,12.2,,11,,11.8,,11.5,,11.6,
,American Indian/Alaska Native/a,1.6,,2.6,,2,,1.6,,1.9,
,Asian/Native Hawaiian/Other Pacific Islander/a,1.3,,1.4,,0.9,,1.2,,1.2,
,"Other/a,b",0.1,,0.3,,0.6,,0.2,,0.3,
Age,,100,%,100,%,100,%,100,%,100,%
,24 or younger,22.9,,19.6,,16,,11,,17.1,
,25–34,31.2,,28.8,,32.8,,32.9,,31.5,
,35–44,30.1,,30,,26.2,,28.6,,28.6,
,45–54,12.3,,16.5,,17.6,,18.4,,16.3,
,55 or older,3.3,,4.9,,7.3,,9,,6.3,
"Note: Excludes deaths in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Details may not sum to totals due to rounding and missing data. Data may have been revised from previously published statistics. See Methodology.",,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,
b/Includes persons of two or more races or other unspecified races.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19. ",,,,,,,,,,,
