Bureau of Justice Statistics,,,,,,,,,,
Filename: sljsfp0019stt05.csv,,,,,,,,,,
"Table 5. Average rate of suicides per 100,000 inmates in local jails, by demographic characteristics of inmates, 2000–19",,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–19; Mortality in Correctional Institutions, 2000–19; National Inmate Survey, 2007–09 and 2011–12; and Survey of Inmates in Local Jails, 2002",,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,
,,,,,,,,,,
"Table 5. Average rate of suicides per 100,000 inmates in local jails, by demographic characteristics of inmates, 2000–19",,,,,,,,,,
Inmate characteristic,,2000–04,,2005–09,,2010–14,,2015–19,,2000–19
,Total,46,,36,,44,,48,,43
Sex,,,,,,,,,,
,Male,48,,38,,46,,49,,45
,Female,32,,22,,32,,38,,31
Race/ethnicity,,,,,,,,,,
,White/a,90,,70,,91,,93,,86
,Black/a,16,,15,,18,,18,,16
,Hispanic,30,,21,,24,,26,,25
,American Indian/Alaska Native/a,56,,72,,54,,47,,57
,Asian/Native Hawaiian/Other Pacific Islander/a,52,,48,,43,,63,,52
,"Other/a,b",1, !,2, !,3, !,1, !,2
Age,,,,,,,,,,
,24 or younger,36,,25,,27,,20,,27
,25–34,44,,33,,43,,45,,41
,35–44,53,,46,,55,,65,,54
,45–54,53,,45,,56,,62,,54
,55 or older,65,,55,,80,,103,,78
"Note: Rates are based on the annual number of suicides and the average daily population (ADP) in local jails. In 2000, the ADP was estimated by taking the average of January 1 and December 31 inmate population counts. Excludes deaths in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Data may have been revised from previously published statistics. See Methodology.",,,,,,,,,,
! Interpret with caution. Estimate is based on 10 or fewer cases.,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,
b/Includes persons of two or more races or other unspecified races.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Annual Survey of Jails, 2000–19; Mortality in Correctional Institutions, 2000–19; National Inmate Survey, 2007–09 and 2011–12; and Survey of Inmates in Local Jails, 2002.",,,,,,,,,,
