Bureau of Justice Statistics,,,,,,,,,,,,
Filename: sljsfp0019stt06.csv,,,,,,,,,,,,
"Table 6. Percent of suicides in local jails, by criminal justice characteristics of inmates, 2000–19",,,,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 6. Percent of suicides in local jails, by criminal justice characteristics of inmates, 2000–19",,,,,,,,,,,,
Inmate characteristic,,,2000–04,,2005–09,,2010–14,,2015–19,,2000–19,
,Total suicides,,"1,511",,"1,379",,"1,613",,"1,714",,"6,217",
Legal status,,,100,%,100,%,100,%,100,%,100,%
,Convicted,,18.3,,16.8,,16.9,,19.2,,17.8,
,Unconvicted,,72.7,,75,,79.3,,79.2,,76.7,
,Other/unknown,,9,,8.3,,3.8,,1.6,,5.5,
Most serious offense/a,,,100,%,100,%,100,%,100,%,100,%
,Violent,,47.8,,47.6,,49.5,,46.9,,48,
,,Murder/b,12,,10.8,,10,,9.7,,10.6,
,,Kidnapping,3.6,,3.1,,4.1,,3.3,,3.5,
,,Rape/sexual assault,8.9,,8.9,,9.1,,8.8,,8.9,
,,Robbery,5.2,,5.6,,5.4,,4,,5,
,,Assault,13.9,,17,,18.4,,18.1,,16.9,
,,Other,4.2,,2.4,,2.5,,3.1,,3.1,
,Property,,18.6,,18.4,,19.1,,18.1,,18.6,
,,Burglary,6.2,,6.6,,6.1,,5.4,,6.1,
,,Larceny/theft,7.4,,7.6,,9.1,,7.6,,7.9,
,,Motor vehicle theft,1.3,,0.8,,0.9,,1.3,,1.1,
,,Arson,0.7,,0.8,,0.7,,0.5,,0.7,
,,Fraud,3.1,,2.5,,2.2,,3.4,,2.8,
,Drugs,,10.9,,8.3,,9.7,,11.9,,10.3,
,,Possession,5.8,,3.8,,4.5,,6.2,,5.1,
,,Trafficking,3.7,,2.5,,3.1,,4,,3.4,
,,Other/unknown,1.4,,2,,2.2,,1.8,,1.8,
,Public order,,20.1,,20.4,,17.9,,19.2,,19.3,
,,Weapons offense,1.4,,0.9,,1.1,,1.1,,1.1,
,,Obstruction of justice,3.3,,3.9,,3.5,,5.4,,4.1,
,,DUI/DWI,2.3,,2.8,,2.2,,1.8,,2.2,
,,Traffic offense excluding DUI/DWI,2.7,,2.3,,1.7,,1.2,,1.9,
,,Probation/parole violation and escape,6.5,,6.6,,6,,6.9,,6.5,
,,Other,3.9,,4,,3.5,,2.7,,3.5,
,Other offenses/unreported,,2.7,,5.3,,3.7,,3.9,,3.9,
Time served in jail on current admission,,,100,%,100,%,100,%,100,%,100,%
,Less than 1 day,,12.2,,9.5,,7.3,,5.1,,8.4,
,1 day,,9.6,,9.4,,10,,6.8,,8.9,
,2–7 days,,25.7,,28.7,,30.1,,31.9,,29.2,
,8–30 days,,16.9,,14.9,,19.7,,22.4,,18.7,
,31–60 days,,10.1,,10.5,,8.4,,9,,9.5,
,61–120 days,,9.2,,11.9,,10,,9.9,,10.2,
,121–180 days,,5.1,,5,,3.7,,4.8,,4.6,
,More than 6 months,,9.9,,9.4,,10.6,,9.9,,10,
Hold status/c,,,/,,/,,100,%,100,%,100,%
,Local law enforcement/court,,/,,/,,94.5,,88.9,,91.6,
,U.S. Immigration and Customs Enforcement ,,/,,/,,0.8,,0.8,,0.8,
,U.S. Marshals Service,,/,,/,,1.4,,2.5,,2,
,Other authority/d,,/,,/,,3.4,,7.8,,5.7,
"Note: Excludes deaths in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Details may not sum to totals due to rounding and missing data. Data may have been revised from previously published statistics. See Methodology.",,,,,,,,,,,,
/Not collected.,,,,,,,,,,,,
"a/Refers to the most serious offense for which the individual is being held in jail, where violent offenses are most serious, followed by property, drug, public order, and all other offenses.",,,,,,,,,,,,
b/Includes nonnegligent manslaughter.,,,,,,,,,,,,
"c/Includes contractual, temporary, courtesy, or ad hoc holds for federal, local, or state authorities. A jail inmate may have multiple hold statuses. The 2000–19 category reflects 2010–19 percentages because these data were first collected in 2010.",,,,,,,,,,,,
"d/Includes state or federal prison, the Bureau of Indian Affairs, or any other jail jurisdiction.",,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19. ",,,,,,,,,,,,
