Bureau of Justice Statistics,,,,,,,,,,,
Filename: sljsfp0019stt07.csv,,,,,,,,,,,
"Table 7. Percent of suicides in local jails, by circumstances of death, 2000–19",,,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,,
,,,,,,,,,,,
"Table 7. Percent of suicides in local jails, by circumstances of death, 2000–19",,,,,,,,,,,
Circumstance of death,,2000–04,,2005–09,,2010–14,,2015–19,,2000–19,
,Total suicides,"1,511",,"1,379",,"1,613",,"1,714",,"6,217",
Time of death,,100,%,100,%,100,%,100,%,100,%
,Morning (6 a.m.–12 p.m.),18.9,,20.5,,20.8,,18.8,,19.7,
,Afternoon (12 p.m.–6 p.m.),25,,26.9,,28.8,,31.3,,28.2,
,Evening (6 p.m.–12 a.m.),27,,26.3,,27.8,,26.4,,26.9,
,Overnight (12 a.m.–6 a.m.),27.2,,23.7,,21.6,,22.2,,23.6,
Method of suicide,,/,,/,,100,%,100,%,100,%
,Suffocation/a,/,,/,,85.6,,91.4,,88.6,
,Exsanguination/b,/,,/,,1.4,,1.2,,1.3,
,Poisoning/c,/,,/,,2.1,,0.9,,1.5,
,Firearm,/,,/,,0.7,,0.3,,0.5,
,Other/d,/,,/,,10.2,,6.2,,8.2,
Location of suicide event/e,,100,%,100,%,100,%,100,%,100,%
,Inmate's cell/room,79.4,,80.1,,72.5,,72.6,,72.5,
,Temporary housing,9.1,,8.6,,6.1,,5.5,,5.8,
,Common area within jail facility/f,4,,4.2,,4.2,,4.5,,4.3,
,Segregation unit,/,,/,,8.1,,8.1,,8.1,
,Special medical unit/infirmary,/,,/,,3.3,,3,,3.2,
,Special mental health services unit,/,,/,,1,,1.3,,1.1,
,Elsewhere within jail facility,/,,/,,1.7,,1.9,,1.8,
,Outside of jail facility,1.1,,0.6,,0.6,,0.9,,0.8,
,Other,5.2,,5.2,,1.9,,0.6,,1.3,
Inmate had an overnight stay in a mental health facility after jail admission,,/,,/,,100,%,100,%,100,%
,Yes,/,,/,,14.3,,13.6,,13.9,
,No,/,,/,,71.4,,72.2,,71.8,
,Unknown,/,,/,,14.1,,14.1,,14.1,
"Note: Excludes deaths in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Details may not sum to totals due to rounding and missing data. Data may have been revised from previously published statistics. The 2000–19 category reflects 2010–19 percentages because data were first collected in 2010. See Methodology.",,,,,,,,,,,
/Not collected.,,,,,,,,,,,
"a/Includes hanging, strangulation, asphyxia, anoxia, and other methods of reducing oxygen intake.",,,,,,,,,,,
b/Includes all types of sharp force trauma or other injuries that cause acute loss of blood.,,,,,,,,,,,
c/Includes drug overdoses and ingestion or use of other poisonous substances.,,,,,,,,,,,
"d/Includes self-inflicted blunt force trauma, dehydration, and unknown or unreported causes.",,,,,,,,,,,
e/Location where inmate attempted to commit suicide. May not reflect actual location of death.,,,,,,,,,,,
"f/Includes temporary holding areas or lockups and common areas within the facility, such as jail yards, cafeterias, or kitchens.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2000–19. ",,,,,,,,,,,
