Bureau of Justice Statistics,,,,,,,,,,
Filename: sljsfp0019stt08.csv,,,,,,,,,,
"Table 8. Percent of local jails, by number of suicides and facility characteristics, 2019",,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Local Jails, 2019; and Mortality in Correctional Institutions, 2019",,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,
,,,,,,,,,,
"Table 8. Percent of local jails, by number of suicides and facility characteristics, 2019",,,,,,,,,,
Facility characteristic,,Number of jail facilities,Total,,No suicides,,1 suicide,,2 or more suicides,
,Total,"3,116","3,116",,"2,834",,226,,56,
Jail operator,,,,,,,,,,
,County,"2,693",100,%,90.8,%,7.4,%,1.8,%
,City,310,100,%,93.1,,5.3,,1.7,
,Regional,79,100,%,89.3,,10.7,,0,
,Private,34,100,%,87.7,,3.4,,8.9,
Inmate sex,,,,,,,,,,
,Both male and female,"2,763",100,%,90.5,%,7.7,%,1.9,%
,Female only,10,100,%,90.5,,9.6,,0,
,Male only,276,100,%,95,,3.9,,1.1,
Jail purpose/a,,,,,,,,,,
,Temporary holding place for detainment of up to 72 hours,"1,659",100,%,91.3,%,7,%,1.8,%
,Detention facility with authority to hold for more than 72 hours,"2,864",100,%,90.7,,7.4,,1.9,
,Correctional facility for felons with sentences of more than 1 year,"1,027",100,%,88.2,,9.3,,2.5,
Jail function/b,,,,,,,,,,
,General adult confinement,"3,032",100,%,90.8,%,7.4,%,1.8,%
,Confinement of persons returned to custody,"2,897",100,%,90.5,,7.6,,1.9,
,Work release/prerelease,"1,603",100,%,91.4,,6.8,,1.8,
,Reception/diagnosis/classification,"1,627",100,%,88.5,,8.8,,2.7,
,Juvenile confinement,339,100,%,83.5,,10.5,,6,
,Medical treatment/hospitalization,655,100,%,83.1,,11.9,,5,
,Mental health/psychiatric care,794,100,%,83.8,,11.6,,4.5,
,Alcohol treatment,472,100,%,85.4,,10.3,,4.2,
,Drug treatment,513,100,%,84.9,,11,,4.1,
,Boot camp,9,100,%,77.8,,0,,22.2,
,Protective custody,"1,152",100,%,86.4,,10.3,,3.3,
Capacity/b,,,,,,,,,,
,Jail facilities operating at 100% capacity or less,"2,646",100,%,91.5,%,6.9,%,1.6,%
,Jail facilities operating at more than 100% capacity,470,100,%,87.3,,9.5,,3.2,
,Median rated capacity,,,,110, beds,305, beds,"1,296", beds
,Mean rated capacity,,,,244.4,,561.5,,"1,540.40",
"Note: See Terms and definitions for the distinctions between jail jurisdictions, jail reporting units, and jail facilities. Includes jails with a suicide in their facilities, single-jail jurisdictions with a suicide whose location of death was at an outside medical facility or hospital, and multiple-jail jurisdictions with a suicide whose location of death was outside the facility but whose death record specified a facility associated with that death. Excludes one facility and seven jurisdictions for which the suicide could not be linked to a specific jail facility in the 2019 Census of Local Jails. Excludes deaths in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Details may not sum to totals due to rounding and missing data. Data may have been revised from previously published statistics. See Methodology.",,,,,,,,,,
a/Jail facilities can have multiple purposes and functions.,,,,,,,,,,
b/As of midyear (last weekday in June). Facilities operating above 100% capacity held more inmates than their rated or design capacity. See Terms and definitions.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Local Jails, 2019; and Mortality in Correctional Institutions, 2019.",,,,,,,,,,
