Bureau of Justice Statistics,,,,,,,,,,
Filename: sljsfp0019stt09.csv,,,,,,,,,,
"Table 9. Percent of local jail jurisdictions, by number of suicides and population characteristics, 2019",,,,,,,,,,
"Report title: Suicide in Local Jails and State and Federal Prisons, 2000–2019 – Statistical Tables   NCJ 300731",,,,,,,,,,
"Data source: Bureau of Justice Statistics, Census of Local Jails, 2019; and Mortality in Correctional Institutions, 2019",,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 10/7/2021,,,,,,,,,,
,,,,,,,,,,
"Table 9. Percent of local jail jurisdictions, by number of suicides and population characteristics, 2019",,,,,,,,,,
Population characteristic,,Number of jail jurisdictions,Total,,No suicides,,1 suicide,,2 or more suicides,
,Total,"2,845","2,845",,"2,566",,217,,61,
Average daily population,,,,,,,,,,
,49 or fewer inmates,"1,002",100,%,97.2,%,2.8,%,<0.1,%
,50–99,514,100,%,95,,4.8,,0.2,
,100–249,643,100,%,91.3,,7.5,,1.1,
,250–499,348,100,%,84.4,,13.2,,1.2,
,500–999,202,100,%,77.6,,19.7,,2.7,
,"1,000–2,499",113,100,%,49.1,,23.1,,27.8,
,"2,500 or more",23,100,%,46.1,,18.1,,35.8,
Felony status,,,,,,,,,,
,50% or more are felons,"2,026",100,%,89.5,%,8,%,2.6,%
,Less than 50% are felons,819,100,%,92,,6.9,,1.1,
Conviction status,,,,,,,,,,
,50% or more are unconvicted,"2,105",100,%,89.2,%,8.3,%,2.5,%
,Less than 50% are unconvicted,740,100,%,93,,5.9,,1.1,
Inmates per correctional staff member,,,,,3.8, inmates,4.4, inmates,4.6, inmates
Inmates per any staff member,,,,,3, inmates,3.4, inmates,3.6, inmates
"Annual admissions per inmate in custody on June 30, 2019*",,,,,15, admissions,14, admissions,11, admissions
"Note: See Terms and definitions for the distinctions between jail jurisdictions, jail reporting units, and jail facilities. Details may not sum to totals due to rounding and missing data. Excludes deaths in the combined jail and prison systems in Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont. Data may have been revised from previously published statistics. See Methodology.",,,,,,,,,,
"*Includes persons officially booked into jail facilities by a formal legal document and the authority of the courts or some other official agency, repeat offenders booked on new charges, and persons serving weekend sentences when they come into jail for the first weekend.",,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Local Jails, 2019; and Mortality in Correctional Institutions, 2019.",,,,,,,,,,
